black,hispanic,married,nodegree,treat,age,re74,re75,re78
1,0,1,1,1,41,1107.0226920139703,4694.877491459996,9370.600129068378
0,0,1,0,0,38,32793.77196617011,38211.08997402525,34073.26443288177
0,0,1,1,0,26,10567.73475090166,16374.059659073875,19667.826252512743
1,0,0,1,1,18,14880.632494305908,9750.755788985185,319.4007028860033
0,0,0,0,0,19,13983.724449154346,25818.820444489487,30851.177014159246
1,0,0,0,1,27,12789.287538058032,9042.486634535622,26860.542417947894
0,0,1,0,1,29,14939.260893968953,27662.92654518659,19174.79822006817
1,0,1,1,1,40,11200.116831242854,3837.201015510784,6808.953740001455
0,0,1,1,0,31,233.93601255750036,8207.697254309605,5179.03098182949
1,0,1,0,0,35,0.0,0.0,0.0
0,0,1,0,0,36,32121.43983619885,28285.984265360577,32876.73093970068
0,0,1,0,0,30,11777.471574418143,15262.472321059668,21892.758733247087
0,0,0,1,0,16,5145.053878827988,13249.532967256915,8070.430776632422
1,0,1,0,0,27,15787.634159836065,8253.630287615497,5962.1884516150385
0,0,1,0,1,32,22548.01761279851,25459.522201296386,23278.170020987636
0,0,1,0,0,21,7645.64743173213,17362.347478158612,13994.699552165444
1,0,0,1,0,30,13038.711542035566,10508.819039861142,23007.204606713967
0,0,1,1,0,17,1662.0081598655406,4873.437328593977,10879.25025322255
1,0,0,1,0,27,0.0,0.0,0.0
0,0,1,0,0,31,3925.834232882291,16843.624523572304,25957.088300926007
0,0,0,0,0,16,0.0,17810.01381515616,0.0
0,0,0,1,1,30,95.9200000439323,5868.576561659415,3366.286100000001
0,0,1,0,1,27,0.0,2413.5129270767975,1529.1966959147621
0,0,1,0,0,32,3853.332116940941,14186.059269524678,15954.573068246042
1,0,1,1,0,30,7516.886034665122,11445.092983678584,1647.72140093706
0,0,0,0,1,25,28363.431180876636,19128.315228946074,25435.586866689584
1,0,1,1,1,23,3592.0920190018765,776.3400555598955,3071.5093319397997
1,0,0,1,0,41,6002.449171458764,0.0,683.5528852458765
0,0,1,0,1,43,19405.242945869155,16435.44204379756,14100.435473086924
0,0,0,0,1,24,36940.25684818887,32381.90394088623,33026.68880635305
0,0,1,0,1,27,8065.684070415156,2962.1078517791775,13285.078830092622
0,0,1,1,0,33,30997.75614790798,24131.356606645393,45045.532080464734
0,0,1,0,0,47,18377.65340113465,19153.973676014513,13792.804342419775
1,0,1,0,1,31,15468.93428537968,26398.52703970614,19294.91754663316
0,0,0,1,1,22,7408.5418757760035,3304.716435971888,20445.298251474178
1,0,1,1,0,21,6769.491272848734,0.0,9219.681268957462
0,0,1,0,0,35,20126.217325400157,14106.217190327696,19529.894198879345
0,0,1,0,1,40,17502.582338811626,22994.376046395977,26734.67734821397
1,0,0,1,0,20,0.0,2595.654445438921,16395.561694163935
0,0,1,0,1,25,0.0,0.0,1529.1966959147621
0,0,1,0,0,41,29145.40492910531,17413.07548053991,10304.134853310185
1,0,0,1,0,36,7460.0525524748755,4380.674991475802,0.0
0,0,1,0,0,35,24262.990281186867,24893.98673685048,23987.786420069457
1,0,1,1,1,28,8752.434397540466,3859.6814449397525,3071.5093319397997
0,0,0,0,0,24,13783.802944740173,22291.330378879575,24788.722646026075
1,0,1,0,0,33,10645.364618571271,15320.528120616653,11797.320952104708
0,0,1,0,1,27,27336.97637680603,21019.264023088395,30054.176226374806
0,0,0,0,0,30,24571.069283134675,15122.960386235074,15940.808460150898
1,0,1,1,0,34,7898.988086117821,635.8557837364679,132.1464200469136
1,0,1,0,1,30,11823.114679348448,7775.472964231108,19799.872304807002
0,0,0,1,0,35,10539.103985522483,18046.149349930572,23832.814947698782
1,0,0,1,0,35,8644.721201679886,3697.8346524705503,18038.791399363115
0,0,1,0,1,31,24838.13676824665,21685.53329491354,24117.325111692182
0,0,1,0,1,41,5711.275141453763,563.4001882459415,14709.098934331556
0,0,1,0,0,39,138.72665838202738,12669.250518498273,10469.440837252805
0,0,1,0,0,45,41812.59879067243,33567.510299992704,35965.24275864501
0,0,1,0,0,31,28107.44471274128,13276.293021285488,6211.42839950965
0,0,1,0,1,22,30599.391311148258,40119.11486147343,50672.75069282494
0,0,1,1,0,19,0.0,1993.8024875653937,10043.726300779259
0,0,1,1,1,38,15156.773729444514,29661.104370877823,17301.270589330972
1,0,1,0,0,38,21901.417155624928,14802.830164525585,7172.958618570756
1,0,0,1,0,19,5472.395779996247,2267.0811717831684,6821.774086341463
0,0,1,0,0,35,43575.80922471128,37975.30734822794,32835.361263001694
0,0,1,0,0,29,11835.55816647741,16915.09437429099,13108.825038296283
0,0,1,1,1,34,14784.48081185118,11157.253259504427,17362.104901357754
0,0,1,0,0,31,30969.771571170713,24897.429958227178,25658.070953780505
0,0,1,0,0,44,19479.42461013876,1191.0563996134388,9347.091332110009
0,0,1,0,0,32,34274.53192106051,29763.668923544006,30712.233274859558
0,0,0,1,1,28,14561.536818149634,9546.651260612743,11568.33656668342
1,0,1,0,1,22,0.0,9528.96634076772,8332.652233160457
0,0,1,0,1,42,14027.532142653412,12093.343043977467,9773.310684690994
0,0,0,1,0,52,16441.218364444638,8295.178740935922,18276.48591653331
1,0,1,0,0,47,13380.722788272324,6097.140284005605,20175.222147400014
0,0,1,0,1,23,12078.52601415774,7334.614543883043,3073.069857310974
0,0,0,0,1,24,25935.227842909804,44168.318834061276,40583.17074128899
0,0,1,0,0,30,274.5881697157456,0.0,7228.316431867992
0,0,1,0,1,32,17184.631428503828,12851.962075754174,21533.937303092087
0,0,1,0,0,20,15171.216310962449,10802.252308675748,28064.77228033127
0,0,0,0,0,35,22220.183591956225,17165.86115307131,27674.418538437414
0,0,1,0,0,31,13223.085643492577,13517.278037173626,0.0
0,0,0,0,0,33,29981.618978593742,33220.24578165004,35315.552838723386
0,0,0,1,0,17,13352.22840693576,16755.858906130285,27489.380953814052
1,0,1,1,1,28,17224.770249060948,14986.941212849979,18141.584428682912
1,0,0,1,0,25,5926.8021368124055,4969.3065373434665,4466.6895585890725
0,0,1,0,1,23,23678.53751804666,16313.268154473713,25570.161672173308
0,0,1,1,1,24,14024.533953817509,17575.999561696604,19953.823891770673
0,0,1,0,0,44,25610.09454905001,23244.82554999477,28387.272521457704
0,0,0,0,1,37,24636.47019581067,26439.831061600868,40768.994989037434
0,0,1,0,1,34,27951.927040605806,30020.9886872839,46624.50284859194
0,0,1,0,1,36,17787.674155510093,18591.22263296809,12795.930123951483
0,0,0,0,0,25,15639.275235036546,11386.324259044693,20999.945584026955
0,0,1,0,1,44,28281.83945289957,15825.753655276323,17364.213942188595
0,0,1,0,1,30,8327.040983511577,9058.311454878647,8271.95606268417
0,0,1,0,0,41,23877.948079025067,27928.323807635417,19223.014822265028
0,0,1,0,0,37,22939.026559765232,19416.390978335934,20828.81401649757
1,0,1,1,1,19,1551.5532782242844,377.77455641771576,13646.451371970312
0,0,1,0,1,29,3333.814241925411,5063.51554312123,3765.6981798386705
0,0,0,0,0,25,14026.148986070883,20682.448762711374,8206.96225896847
0,0,1,0,0,43,18201.930679630757,23894.01285319381,25685.202214697303
1,0,1,1,1,33,0.0,3939.692637847162,6861.226226801042
0,0,0,1,0,21,8877.31271923853,21588.09582186529,33088.75634138922
0,0,1,0,1,38,21397.766230447123,27099.768662337487,22950.728259756106
1,0,1,1,0,18,8670.242310208878,7530.394207776399,5286.302709380312
0,0,1,1,1,26,6733.784218817941,17206.555141244346,23220.626389657966
0,0,1,0,1,33,19409.489136522254,25337.021869178727,37129.59366866256
0,1,1,1,1,45,12283.354981740216,6597.544142937342,5931.059321149575
0,0,0,0,0,31,21336.032195909458,26328.59699633157,32891.80338062411
0,0,1,0,1,38,38924.54655461515,35837.050935843676,35896.5703104169
0,0,1,1,1,25,0.0,4876.494350774483,13585.010230353342
0,0,1,1,0,22,12328.662134673543,9323.878772541033,14052.735530751084
0,0,1,0,0,20,11804.397777145288,8223.652308011491,19427.85706392201
1,0,1,1,1,27,2724.2462700243022,0.0,7726.409896028783
1,0,1,1,1,22,4325.623572566677,3322.422934839222,8791.671488529293
1,0,1,0,0,27,18020.083522487643,17028.70634638046,25269.158554809954
1,0,1,1,0,33,14414.864345923963,14376.503862062287,25082.73500721352
0,0,1,0,1,30,23218.0761005784,13628.333142683527,32109.008862354764
1,0,1,1,0,30,9966.421495465214,9322.39340715883,11704.960377207897
0,0,1,0,0,33,11697.075607624496,8452.53929215663,0.0
1,0,0,0,1,23,23465.0194197272,37301.4253776932,21323.474601901027
0,0,0,0,1,25,3716.513408088218,8970.603367383776,-3875.8658233451324
1,0,0,1,0,28,0.0,61.56515841059718,3343.1459893712877
1,0,1,1,1,32,9124.954631648778,5548.340787012094,21846.59866287165
0,0,1,0,1,31,17404.922381739358,3312.2946479526945,11523.242076765906
1,0,1,1,0,47,15433.322942788798,0.0,5161.102698473276
0,0,1,0,1,25,28625.42642048751,22764.534437387207,41334.646055999176
0,0,0,0,0,26,4258.761355083097,643.0575182804714,0.0
0,0,1,1,0,18,2439.954138358684,3067.2659961902045,4852.733740714528
0,0,1,0,1,31,17216.467929873474,21773.359600310614,36490.95758299957
0,0,1,1,1,34,8592.649852413708,15641.588133332592,16942.01030751697
0,0,1,0,1,34,25460.030069427135,25558.50673138709,29935.01999554402
0,0,0,0,1,28,5504.524984074462,11342.148942377275,-151.54280622314855
0,0,1,0,0,25,30085.277080377557,27174.92049637036,22584.087623560856
0,1,0,0,1,20,0.0,0.0,1529.1966959147621
0,0,1,0,0,32,0.0,0.0,0.0
0,0,1,0,0,31,18850.67835428343,19469.532746811907,35305.58804474343
0,1,1,0,1,20,6543.266859745672,526.5098473489043,8658.950953664684
0,0,1,0,1,32,49239.49005528201,42770.18982388828,40871.964182924334
1,0,1,0,0,35,0.0,0.0,0.0
0,0,1,0,1,30,20171.820251256573,22891.18639176477,32642.06711865941
0,0,1,0,0,32,24723.387628474124,31700.201618635223,19589.43835174902
0,0,1,1,0,31,15389.934530288316,16182.49708318205,15993.29430020238
0,0,1,0,1,24,21964.79920724341,24274.545764593633,23019.79307082746
0,0,1,0,0,35,14188.930455433321,11636.2415040058,14673.329090619758
0,0,1,0,1,28,22390.658021339408,16920.54470343193,33565.41765731081
0,0,0,0,0,19,13407.622092214046,7742.2045782599835,16435.971131829447
0,0,0,0,0,19,21863.036005257596,17278.65251918616,25068.71930448438
0,0,1,0,0,28,9340.031938365539,10693.592554217752,8702.125891508003
1,0,1,1,0,33,11051.384671715532,7469.0501750842095,8639.71582512691
0,0,1,0,1,36,14276.75363442264,19339.46266585841,31607.56009936557
1,0,0,0,0,29,22270.021896652062,26075.27737939832,29368.835460087463
1,0,0,1,1,30,7475.771061004303,7280.437370141034,4191.065351184567
0,0,1,1,0,22,11559.317641061409,5441.114533302419,16505.2163374655
0,0,1,0,0,26,0.0,722.0871065794163,0.0
0,0,1,0,0,29,274.68812595171767,10023.227637688553,9420.933221994368
0,0,1,0,1,40,5079.667945366678,2424.8816409503706,1529.1966959147621
0,0,0,0,1,19,19380.418129786558,20051.344964510587,23977.956336651634
0,0,1,0,0,39,26911.646746163824,34496.70222634346,26217.367762266174
1,0,0,1,1,21,1688.9735108154555,0.0,2330.95049883077
1,0,1,1,0,28,1135.3597009277605,0.0,13603.488475531934
1,0,1,1,0,29,1432.227114121059,6326.34028518414,12042.997496099106
0,0,0,0,1,16,14618.759533247017,25059.1969017845,36155.24558650758
0,0,1,1,0,34,6476.501623673416,15001.566897552908,21416.17875361155
0,0,1,0,1,30,29173.182837914155,28685.691022671024,31540.522178889158
1,0,1,0,0,21,0.0,1414.5000525980686,1827.9772566909687
0,0,1,0,0,39,28713.522634447065,33857.166084253,32759.9609300523
0,0,1,0,1,33,21946.28007028796,12809.299337882609,13995.11043385911
0,0,1,0,0,22,13154.626596722366,1719.2663985004529,0.0
0,0,0,0,0,17,0.0,0.0,0.0
0,1,0,0,1,21,1169.7403490310517,0.0,1529.1966959147621
0,0,0,1,1,44,11057.127895018864,13684.443958179387,17686.03500894964
0,0,0,1,1,19,8518.070664665725,17819.409942139133,34631.21913433436
0,1,0,1,0,40,0.0,0.0,13139.241562757674
1,0,1,0,1,31,14150.036220714279,7249.645777167119,28909.466447730836
0,0,0,0,0,23,12258.698352747306,8379.896220356342,1140.0702214871417
0,0,1,0,1,27,7356.789646071189,8852.548322240753,10101.140057276702
0,0,1,0,1,35,22639.699398915574,36480.634859207334,47105.91672431623
1,0,1,1,1,31,209.4113869402163,987.6846952162318,13759.97847014006
1,0,1,1,1,33,0.0,1265.5314032176839,15374.836369714802
0,0,0,0,0,17,21135.880640702926,1337.4962406620652,19938.92232233324
1,0,1,1,1,30,0.0,0.0,3071.5093319397997
0,0,1,1,1,47,17201.163169145744,14602.043368868104,23983.67272491553
0,0,0,0,1,43,23214.515351143124,13469.56225489947,8472.049938814063
1,0,1,0,1,28,17769.94657088814,15612.2664400476,23805.637695019806
0,0,1,0,0,26,25562.689622130743,28585.66206236526,17829.78130873629
0,0,1,0,1,38,15731.511719962786,12789.732128674656,6674.520634467383
0,0,1,1,0,28,981.067839720532,6494.642085051646,11211.158159311799
1,0,0,0,1,22,7559.521100459115,13327.838527356987,20037.936229417108
0,0,0,0,0,25,18336.13510956981,15767.893916766792,18780.381679591064
0,0,1,0,0,24,16684.59110058249,24555.897941074356,28274.369420043276
1,0,1,0,0,30,0.0,0.0,9163.701411680271
1,0,1,0,1,26,20819.648062758344,22208.409355761127,24913.49231675398
0,1,1,0,1,20,5786.036394013499,0.0,1529.1966959147621
0,0,1,0,0,24,21756.030717496655,39537.51416981201,47283.34831769109
0,0,1,1,0,37,22517.087030688483,18710.924068376535,23145.05739897504
0,0,1,0,1,33,29445.13803730347,25121.643178254126,30002.94090958083
0,0,1,1,0,33,17333.49428674013,18361.70876467856,16988.90943853549
0,1,1,1,1,69,21125.4508467476,4362.805457072938,1529.1966959147621
1,0,1,0,1,32,6709.922488511987,9882.305373899195,4872.458833333334
0,0,0,1,0,25,0.0,4504.83785022335,0.0
0,1,1,1,0,45,3731.7407564195482,2799.968104201345,4372.335430982113
0,0,1,1,1,39,20234.24302308863,17954.870202033424,18960.39609352327
1,0,0,0,1,32,21346.620595179753,12856.79513618991,23531.395245520158
0,0,1,0,0,38,23604.52237603585,19741.74440289767,22044.009202014135
0,0,1,1,1,49,27426.376141469882,30803.414324354453,38588.963029267376
1,0,0,0,1,21,0.0,0.0,4214.725487525988
0,1,0,0,1,21,6782.304385650877,1967.0990483547703,8322.079836751636
0,0,1,0,0,32,0.0,0.0,0.0
1,0,1,0,1,34,12553.917867658183,11559.021091895582,9723.31033888314
1,0,1,0,1,23,4697.449137134263,4371.701695287287,7334.347501730303
0,0,1,0,0,24,33708.767138647294,30777.64235769449,45841.51748844712
0,1,1,1,0,36,4704.19511685539,4262.126133263889,616.3990407927577
0,0,1,0,0,37,19995.06492219991,9879.191829080637,0.0
0,0,1,0,0,28,7867.076280748128,5244.885604217132,18510.109021338674
0,0,1,0,1,27,12725.955402755988,8710.009650476655,7437.8540001573865
0,0,1,0,0,34,24571.016660603796,24619.527331685375,26889.40272659866
0,0,1,0,0,36,38895.70776598723,28986.00955308103,36442.35216283391
1,0,1,0,0,40,18054.978924341965,15099.058083234326,20258.21962614864
0,0,1,1,0,39,11488.365070792024,17117.20031332197,4209.7832862988525
0,0,0,0,1,36,10763.623607512107,5569.136911955202,12242.801032844734
1,0,0,0,0,21,6486.57092971512,12546.73522649668,13174.869875608605
0,0,1,0,0,32,30144.509404924884,19087.475655653343,20472.737575977226
0,0,1,0,0,19,23781.90802669018,19572.652300130707,31703.059763309517
0,0,1,0,1,33,10828.415147310141,19909.957941757704,5088.440481705112
0,0,1,0,0,28,10736.392937830402,14868.394319376574,10769.833996230343
0,0,1,0,0,29,29891.96213781602,36222.18796514167,39640.162512560535
0,0,0,0,0,24,0.0,0.0,0.0
1,0,1,0,1,34,6174.806483053964,6805.426317539722,13795.367146527446
0,0,1,0,0,29,19490.132710735757,6740.496878677866,15041.628195545814
0,0,0,0,0,37,0.0,1947.0498761619783,14785.997634831949
0,0,1,1,1,43,12992.255169784952,187.08085039613434,11883.404148034751
0,0,0,0,0,19,6381.704452860282,6062.574934549035,9283.893200528826
0,0,1,0,1,24,18553.676026653884,35507.57147292125,28566.311342196866
1,0,0,1,0,37,15366.91695650619,11379.772455168706,15530.711056665106
0,0,1,0,1,18,12534.802695057144,17329.074120072542,20135.555185073372
0,0,1,0,1,35,31090.46311410202,30963.07922092252,44018.5799453617
0,0,1,0,1,32,21681.26853930737,15014.341157629287,31734.394515541517
0,0,0,0,0,26,17852.60781248487,20560.031499964665,30320.951451078705
0,0,1,1,1,36,0.0,3748.420221997425,2314.641357835405
0,1,1,0,1,25,10344.501695674142,8902.770997936539,10473.029237272887
0,0,1,0,0,31,21708.604734886016,27371.703805583194,35508.0486816263
0,0,0,0,1,19,0.0,7791.473226750099,13574.997330941089
0,0,1,0,0,18,31009.57421202099,26922.175441895986,41340.947345343324
0,0,1,0,0,31,16684.4996932128,18295.477889688584,22586.568278223098
0,0,1,0,0,25,18599.261893419247,15872.596987559633,32836.51065679005
0,0,0,0,1,18,0.0,0.0,-3956.153761904764
0,0,1,0,1,26,33913.83125589704,39059.828848166275,45351.14924016155
1,0,0,0,1,25,8047.084639699075,4026.801853905341,21094.532397180155
0,0,1,0,0,21,35887.11190461255,32315.856199599846,36011.30492752823
0,1,1,0,0,19,0.0,0.0,0.0
0,1,1,1,1,42,2031.3747894408655,3088.1231862696063,14077.893007991577
0,0,1,0,1,27,25247.752900114694,25106.70319739025,44600.078251818384
0,0,1,0,1,29,14156.238986626331,11122.7109913802,12430.897570113819
0,0,1,1,0,24,0.0,0.0,0.0
1,0,1,1,1,27,0.0,0.0,13367.516415762295
1,0,0,0,0,18,0.0,0.0,6512.724571762552
1,0,1,0,1,23,334.81554791639974,2922.2354331822116,13894.005987124594
0,0,1,0,1,56,12725.180969106304,18551.741943074365,31469.79614714698
0,0,1,0,0,35,19713.1440187059,16146.948253111017,20639.688777713083
1,0,1,0,0,22,0.0,0.0,6446.4687798422965
1,0,0,0,1,28,3349.3711151970465,6111.378438062791,18838.75000567139
0,0,1,0,0,36,14899.555865384229,3837.0508546212222,8777.136226644281
1,0,1,1,1,37,13277.391598266695,11345.112984768653,13802.725914192324
0,0,0,1,0,35,24931.273026741903,22186.473255819725,30983.277496895804
1,0,1,1,1,27,8941.821418800486,7609.8667735079,14366.150384180244
0,0,0,1,1,20,16277.461213037994,8934.965539067784,27345.360781677835
0,0,1,0,1,38,15176.306540002688,6549.695291344571,6849.036854724197
0,0,1,0,1,36,24235.863072395114,33738.28284223783,36068.00118557925
1,0,1,1,1,24,1773.9174253125407,296.2211495208294,7164.385819335936
0,0,0,0,1,26,9500.098623304051,7736.268291705317,11970.098633162524
0,0,1,0,1,17,3786.5856203722815,14809.378631799278,16203.681318196726
1,0,1,0,0,25,8003.863136508672,9575.845030674443,9066.096180488254
0,0,1,0,1,22,496.7628419636385,0.0,2842.6169380638903
0,0,1,0,0,31,22284.358251036836,12860.78246798617,21540.60521906754
0,0,0,0,0,32,7375.6273242249445,15002.042294772567,30273.43039496465
0,0,1,0,0,32,10506.347145482676,13133.859616406306,16547.22775099191
0,0,1,0,0,26,12305.018132034165,16253.048669274001,24386.039479230887
0,1,1,0,0,21,7083.038137256578,0.0,4016.510369087554
0,0,1,0,1,53,18446.884932127585,17824.08170955494,19649.61896789284
0,0,1,0,0,46,29273.305221877075,14233.214253685794,32512.984503965115
0,0,1,0,0,30,11652.498274065138,9867.455484890115,7339.184226813126
0,0,1,0,0,30,18096.594296782394,22083.786626961773,24238.32522112895
0,0,0,0,0,32,27020.2115038108,27642.03846118363,34584.24037486522
1,0,1,1,0,40,0.0,3770.0490606308504,12441.388299045317
0,0,1,0,1,26,22570.444029701794,34484.99740368163,32638.261453773324
0,0,1,0,1,25,12430.199704423558,4985.216059864861,9176.00863427392
0,0,0,0,1,37,33263.94516542289,22629.030470873724,157.87096929771633
1,0,1,1,0,21,591.3940921524609,0.0,6057.058094080678
0,0,1,1,1,27,20621.7324545064,26704.951573192448,35452.775718034994
0,0,1,0,0,39,19723.236204876845,15419.02733085235,15787.570347823563
0,0,0,0,0,17,11373.941579325758,15904.549025383008,19702.351541772212
0,0,1,0,0,32,24288.02158250619,26426.940756092758,18948.20693626762
1,0,0,0,1,18,0.0,0.0,4214.725487525988
0,0,1,0,0,32,22988.10607764704,17292.0793069147,34720.72902098138
0,0,1,0,1,24,23625.44812963397,30361.617844938268,34218.628035596514
1,0,1,1,1,41,0.0,0.0,3071.5093319397997
0,0,1,0,0,31,14158.789971043405,11938.223514104951,23133.14519027529
0,0,0,0,1,22,14860.260391297035,8823.058172720866,8312.691280219682
0,0,1,0,1,26,21415.103092886362,25895.725136306082,28835.089242126298
1,0,0,1,0,24,9470.874222569708,5821.587576504513,18849.224357942494
0,0,0,0,1,23,7933.532319658207,13695.95174686842,19877.196428930874
0,0,1,0,1,28,15200.351897777753,21927.901075508977,40348.67610517784
1,0,0,1,0,25,10892.217057131284,8259.388172013354,10012.197207246973
0,0,1,0,1,25,24169.20298145547,31785.255778032937,43279.76652904718
0,0,1,0,0,22,18802.115883521063,17666.338945657953,31101.368314934694
0,0,0,0,1,33,30440.15538760216,26795.47519882396,46642.35102858009
1,0,0,0,0,21,16272.803255902789,17383.31516692994,31638.029845003584
1,0,1,1,1,25,260.54870191201735,547.7525793771979,9227.723283361014
0,0,1,0,0,26,5677.801656429103,8361.147286267082,15598.941983112136
0,0,1,0,0,34,22086.873513456347,24011.128692762784,32691.41608042881
0,0,1,0,0,43,26185.67633550719,21586.6173988413,39613.01635843113
1,0,1,1,0,32,215.83528938611198,1667.1856172496114,5326.215386468459
0,0,1,0,0,24,2408.1987406854932,0.0,6623.494413794717
0,0,1,0,0,30,17561.044523868946,14102.410998001229,19251.314262512587
0,1,1,0,1,19,3217.196998193249,0.0,1973.2468002435953
1,0,1,1,1,43,11914.570290720885,10171.137924091585,18400.506050823617
1,0,1,0,1,28,10824.544993841122,8425.685126420252,15525.693839568743
1,0,0,0,0,16,2086.3233599426403,303.51556773416814,0.0
0,1,1,0,0,19,0.0,0.0,0.0
0,0,1,1,1,50,9407.608294854981,2272.5301380004003,12814.976202285721
0,0,1,0,1,27,12175.67679823766,8098.360689458943,1529.1966959147621
0,0,1,0,1,22,19458.373713542853,6698.105598604134,19709.465317205835
0,0,1,0,0,37,30804.94343994805,22669.174809032425,27066.639983835015
0,0,1,0,0,23,22187.412632753563,17075.712857698843,24226.332458812074
0,0,1,0,0,36,34620.3185919665,25064.641024317636,30734.243088670555
0,1,0,0,1,17,0.0,0.0,1529.1966959147621
0,0,1,0,0,33,1323.9850913115115,7287.311041921494,6256.044536137362
0,0,1,0,1,26,14546.147574865197,11713.045049856148,19369.39382275043
0,0,1,0,0,20,22077.834208602617,22143.745700419364,16989.44303652452
0,0,1,1,0,35,28683.86208664436,30066.69750664483,23527.321463765198
0,0,0,0,0,24,7916.854678691698,11418.097840729279,0.0
0,0,1,1,0,41,13604.610667312249,16786.640379266704,20733.560546208442
1,0,0,1,0,21,5763.414583861757,5583.55739432319,14654.644318583962
0,0,1,1,1,24,0.0,0.0,2332.9254896352986
0,0,1,0,0,34,23504.655870517276,11237.087190913617,17013.291283078564
0,0,1,0,1,25,0.0,0.0,1529.1966959147621
0,0,1,0,1,37,8658.619460436035,0.0,1529.1966959147621
1,0,1,1,1,28,3564.554279393782,0.0,11845.19403105712
1,0,1,0,0,31,4089.175867261396,6668.402744053294,10839.796513267429
0,0,1,1,0,23,19735.765734894172,25830.09852428166,23361.413988312685
0,0,1,0,0,33,13276.150785923488,15496.21294090539,25076.07813872345
0,0,1,0,0,29,34549.37408531195,29169.605867113074,32625.871041879225
1,0,1,1,0,46,5424.81654825539,1599.4642577328987,2169.1855616766916
1,0,1,0,1,29,21264.85703609397,23221.12209726467,32087.873157790924
0,0,0,0,0,28,14043.17262732046,8838.476991693053,12985.503285675373
0,0,1,0,0,27,17420.501934190535,13307.033156049512,23419.445934244708
0,1,0,1,1,29,11769.387897970548,7928.278363576965,1956.4512191445447
0,0,1,1,0,40,20092.03737512329,19704.302704414913,29692.378838905628
