age,y,education,black,hispanic,married,nodegree,re74,re75,re78,u74,u75,treat,id
25,1574.42,11,1,0,1,1,0.0,0.0,1574.42,1,1,1,33
20,0.0,12,1,0,0,0,0.0,0.0,0.0,1,1,1,34
25,3191.75,12,1,0,0,0,0.0,0.0,3191.75,1,1,1,35
42,20505.9,14,1,0,0,0,0.0,0.0,20505.9,1,1,1,36
25,6181.88,5,1,0,0,1,0.0,0.0,6181.88,1,1,1,37
23,5911.55,12,1,0,1,0,0.0,0.0,5911.55,1,1,1,38
46,3094.16,8,1,0,1,1,0.0,0.0,3094.16,1,1,1,39
24,0.0,10,1,0,0,1,0.0,0.0,0.0,1,1,1,40
21,1254.58,12,1,0,0,0,0.0,0.0,1254.58,1,1,1,41
19,13188.8,9,0,0,0,1,0.0,0.0,13188.8,1,1,1,42
17,8061.49,8,1,0,0,1,0.0,0.0,8061.49,1,1,1,43
18,2787.96,8,0,1,1,1,0.0,0.0,2787.96,1,1,1,44
20,3972.54,11,1,0,0,1,0.0,0.0,3972.54,1,1,1,45
25,0.0,11,1,0,1,1,0.0,0.0,0.0,1,1,1,46
17,0.0,8,1,0,0,1,0.0,0.0,0.0,1,1,1,47
17,0.0,9,1,0,0,1,0.0,0.0,0.0,1,1,1,48
25,12187.4,5,1,0,0,1,0.0,0.0,12187.4,1,1,1,49
23,4843.18,12,1,0,0,0,0.0,0.0,4843.18,1,1,1,50
28,0.0,8,1,0,0,1,0.0,0.0,0.0,1,1,1,51
31,8087.49,11,1,0,1,1,0.0,0.0,8087.49,1,1,1,52
18,0.0,11,1,0,0,1,0.0,0.0,0.0,1,1,1,53
25,2348.97,12,1,0,0,0,0.0,0.0,2348.97,1,1,1,54
30,590.782,11,1,0,1,1,0.0,0.0,590.782,1,1,1,55
17,0.0,10,1,0,0,1,0.0,0.0,0.0,1,1,1,56
37,1067.51,9,1,0,0,1,0.0,0.0,1067.51,1,1,1,57
41,7284.99,4,1,0,1,1,0.0,0.0,7284.99,1,1,1,58
42,13167.5,14,1,0,1,0,0.0,0.0,13167.5,1,1,1,59
22,1048.43,11,0,0,0,1,0.0,0.0,1048.43,1,1,1,60
17,0.0,8,1,0,0,1,0.0,0.0,0.0,1,1,1,61
29,1923.94,8,1,0,0,1,0.0,0.0,1923.94,1,1,1,62
35,4666.24,10,1,0,0,1,0.0,0.0,4666.24,1,1,1,63
27,549.298,11,1,0,0,1,0.0,0.0,549.298,1,1,1,64
29,762.915,4,1,0,0,1,0.0,0.0,762.915,1,1,1,65
28,10694.3,9,1,0,0,1,0.0,0.0,10694.3,1,1,1,66
27,0.0,11,1,0,0,1,0.0,0.0,0.0,1,1,1,67
23,0.0,7,0,0,0,1,0.0,0.0,0.0,1,1,1,68
45,8546.72,5,1,0,1,1,0.0,0.0,8546.72,1,1,1,69
29,7479.66,13,1,0,0,0,0.0,0.0,7479.66,1,1,1,70
27,0.0,9,1,0,0,1,0.0,0.0,0.0,1,1,1,71
46,647.205,13,1,0,0,0,0.0,0.0,647.205,1,1,1,72
18,0.0,6,1,0,0,1,0.0,0.0,0.0,1,1,1,73
25,11965.8,12,1,0,0,0,0.0,0.0,11965.8,1,1,1,74
28,9598.54,15,1,0,0,0,0.0,0.0,9598.54,1,1,1,75
25,18783.4,11,0,0,0,1,0.0,0.0,18783.4,1,1,1,76
22,18678.1,12,1,0,0,0,0.0,0.0,18678.1,1,1,1,77
21,0.0,9,1,0,0,1,0.0,0.0,0.0,1,1,1,78
40,23005.6,11,1,0,0,1,0.0,0.0,23005.6,1,1,1,79
22,6456.7,11,1,0,0,1,0.0,0.0,6456.7,1,1,1,80
25,0.0,12,1,0,0,0,0.0,0.0,0.0,1,1,1,81
18,2321.11,12,1,0,0,0,0.0,0.0,2321.11,1,1,1,82
38,4941.85,12,0,0,0,0,0.0,0.0,4941.85,1,1,1,83
27,0.0,13,1,0,0,0,0.0,0.0,0.0,1,1,1,84
27,0.0,8,1,0,0,1,0.0,0.0,0.0,1,1,1,85
38,0.0,11,1,0,0,1,0.0,0.0,0.0,1,1,1,86
23,3881.28,8,0,1,0,1,0.0,0.0,3881.28,1,1,1,87
26,17231.0,11,1,0,0,1,0.0,0.0,17231.0,1,1,1,88
21,8048.6,12,0,0,0,0,0.0,0.0,8048.6,1,1,1,89
25,0.0,8,1,0,0,1,0.0,0.0,0.0,1,1,1,90
31,14509.9,11,1,0,1,1,0.0,0.0,14509.9,1,1,1,91
17,0.0,10,1,0,0,1,0.0,0.0,0.0,1,1,1,92
25,0.0,11,1,0,0,1,0.0,0.0,0.0,1,1,1,93
21,9983.78,12,1,0,0,0,0.0,0.0,9983.78,1,1,1,94
44,0.0,11,1,0,0,1,0.0,0.0,0.0,1,1,1,95
25,5587.5,12,0,0,0,0,0.0,0.0,5587.5,1,1,1,96
18,4482.85,9,1,0,0,1,0.0,0.0,4482.85,1,1,1,97
42,2456.15,12,1,0,0,0,0.0,0.0,2456.15,1,1,1,98
25,0.0,10,1,0,0,1,0.0,0.0,0.0,1,1,1,99
31,26817.6,9,0,1,0,1,0.0,0.0,26817.6,1,1,1,100
24,0.0,10,1,0,0,1,0.0,0.0,0.0,1,1,1,101
26,9265.79,10,1,0,0,1,0.0,0.0,9265.79,1,1,1,102
25,485.23,11,1,0,0,1,0.0,0.0,485.23,1,1,1,103
18,4814.63,11,1,0,0,1,0.0,0.0,4814.63,1,1,1,104
19,7458.11,11,1,0,0,1,0.0,0.0,7458.11,1,1,1,105
43,0.0,9,1,0,0,1,0.0,0.0,0.0,1,1,1,106
27,34099.3,13,1,0,0,0,0.0,0.0,34099.3,1,1,1,107
17,1953.27,9,1,0,0,1,0.0,0.0,1953.27,1,1,1,108
30,0.0,11,1,0,0,1,0.0,0.0,0.0,1,1,1,109
26,0.0,10,1,0,1,1,2028.0,0.0,0.0,0,1,1,110
20,8881.67,9,1,0,0,1,6083.99,0.0,8881.67,0,1,1,111
17,6136.3265,9,0,1,0,1,445.17,74.3435,6210.67,0,0,1,112
20,-165.208,12,1,0,0,0,989.268,165.208,0.0,0,0,1,113
18,715.32,11,1,0,0,1,858.254,214.564,929.884,0,0,1,114
27,-334.049,12,1,0,1,0,3670.87,334.049,0.0,0,0,1,115
21,12223.951000000001,12,0,0,0,0,3670.87,334.049,12558.0,0,0,1,116
27,21805.35,12,1,0,0,0,2143.41,357.95,22163.3,0,0,1,117
20,1275.0710000000001,12,1,0,0,0,0.0,377.569,1652.64,1,0,1,118
19,7739.446,10,1,0,0,1,0.0,385.274,8124.72,1,0,1,119
23,170.25799999999998,12,1,0,0,0,5506.31,501.074,671.332,0,0,1,120
29,17135.327,14,1,0,0,0,0.0,679.673,17815.0,1,0,1,121
18,8938.242,10,1,0,0,1,0.0,798.908,9737.15,1,0,1,122
19,16886.292,9,1,0,0,1,0.0,798.908,17685.2,1,0,1,123
27,-853.723,13,0,0,1,0,9381.57,853.723,0.0,0,0,1,124
18,3402.152,11,0,0,0,1,3678.23,919.558,4321.71,0,0,1,125
27,838.975,9,1,0,1,1,0.0,934.445,1773.42,1,0,1,126
22,-936.177,12,1,0,0,0,5605.85,936.177,0.0,0,0,1,127
23,10296.860999999999,10,1,0,1,1,0.0,936.439,11233.3,1,0,1,128
23,-557.9970000000001,12,0,1,0,0,9385.74,1117.44,559.443,0,0,1,129
20,-135.39999999999986,11,1,0,0,1,3637.5,1220.84,1085.44,0,0,1,130
17,4191.76,9,1,0,0,1,1716.51,1253.44,5445.2,0,0,1,131
28,59023.82,11,1,0,0,1,0.0,1284.08,60307.9,1,0,1,132
26,67.50999999999999,11,1,0,1,1,0.0,1392.85,1460.36,1,0,1,133
20,5458.35,11,1,0,0,1,16318.6,1484.99,6943.34,0,0,1,134
24,2366.6000000000004,11,1,0,1,1,824.389,1666.11,4032.71,0,0,1,135
31,8664.689999999999,9,1,0,0,1,0.0,1698.61,10363.3,1,0,1,136
23,2519.1600000000003,8,0,0,1,1,0.0,1713.15,4232.31,1,0,1,137
18,9357.13,10,1,0,0,1,2143.41,1784.27,11141.4,0,0,1,138
29,-1817.28,12,1,0,0,0,10881.9,1817.28,0.0,0,0,1,139
26,11159.63,11,0,0,0,1,0.0,2226.27,13385.9,1,0,1,140
24,2560.8800000000006,9,1,0,0,1,9154.7,2288.68,4849.56,0,0,1,141
25,-2409.27,12,1,0,0,0,14426.8,2409.27,0.0,0,0,1,142
24,-761.4399999999998,10,1,0,0,1,4250.4,2421.95,1660.51,0,0,1,143
46,-2594.72,8,1,0,0,1,3165.66,2594.72,0.0,0,0,1,144
31,-126.66999999999962,12,0,0,0,0,0.0,2611.22,2484.55,1,0,1,145
19,1531.3200000000002,11,1,0,0,1,2305.03,2615.28,4146.6,0,0,1,146
19,7313.620000000001,8,1,0,0,1,0.0,2657.06,9970.68,1,0,1,147
27,-2666.27,11,1,0,0,1,2206.94,2666.27,0.0,0,0,1,148
26,23617.649999999998,11,1,0,1,1,0.0,2754.65,26372.3,1,0,1,149
20,2837.8299999999995,10,1,0,0,1,5005.73,2777.36,5615.19,0,0,1,150
28,360.05999999999995,10,1,0,0,1,0.0,2836.51,3196.57,1,0,1,151
24,3324.92,12,1,0,0,0,13765.8,2842.76,6167.68,0,0,1,152
19,4598.679999999999,8,1,0,0,1,2636.35,2937.26,7535.94,0,0,1,153
23,5444.28,12,1,0,0,0,6269.34,3039.96,8484.24,0,0,1,154
42,-1764.1200000000001,9,1,0,1,1,0.0,3058.53,1294.41,1,0,1,155
25,-3090.73,13,1,0,0,0,12362.9,3090.73,0.0,0,0,1,156
18,1722.96,9,1,0,0,1,0.0,3287.38,5010.34,1,0,1,157
21,6038.630000000001,12,1,0,0,0,6473.68,3332.41,9371.04,0,0,1,158
27,-3550.08,10,1,0,0,1,1001.15,3550.08,0.0,0,0,1,159
21,583.7099999999996,8,1,0,0,1,989.268,3695.9,4279.61,0,0,1,160
22,-374.42999999999984,9,1,0,0,1,2192.88,3836.99,3462.56,0,0,1,161
31,3359.34,4,1,0,0,1,8517.59,4023.21,7382.55,0,0,1,162
24,-4078.15,10,1,0,1,1,11703.2,4078.15,0.0,0,0,1,163
29,-4398.95,10,1,0,0,1,0.0,4398.95,0.0,1,0,1,164
29,6097.56,12,1,0,0,0,9748.39,4878.94,10976.5,0,0,1,165
19,8505.490000000002,10,0,0,0,1,0.0,5324.11,13829.6,1,0,1,166
19,1324.6599999999999,11,0,1,1,1,5424.49,5463.8,6788.46,0,0,1,167
31,4040.66,9,1,0,0,1,10717.0,5517.84,9558.5,0,0,1,168
22,7639.639999999999,10,1,0,1,1,1468.35,5588.66,13228.3,0,0,1,169
21,-5005.663,9,1,0,0,1,6416.47,5749.33,743.667,0,0,1,170
17,-271.0600000000004,10,1,0,0,1,1291.47,5793.85,5522.79,0,0,1,171
26,-4369.889999999999,12,1,0,1,0,8408.76,5794.83,1424.94,0,0,1,172
20,-4516.41,9,0,1,0,1,12260.8,5875.05,1358.64,0,0,1,173
19,-6056.75,10,1,0,0,1,4121.95,6056.75,0.0,0,0,1,174
26,-6116.0830000000005,10,1,0,0,1,25929.7,6788.96,672.877,0,0,1,175
28,-6871.86,11,1,0,0,1,1929.03,6871.86,0.0,0,0,1,176
22,3037.0999999999995,12,0,1,1,0,492.231,7055.7,10092.8,0,0,1,177
33,-1586.4899999999998,11,1,0,0,1,0.0,7867.92,6281.43,1,0,1,178
22,4135.200000000001,12,0,0,0,0,6759.99,8455.5,12590.7,0,0,1,179
29,-3741.66,10,0,1,0,1,0.0,8853.67,5112.01,1,0,1,180
33,5011.200000000001,12,1,0,1,0,20280.0,10941.4,15952.6,0,0,1,181
25,25110.4,14,1,0,1,0,35040.1,11536.6,36647.0,0,0,1,182
35,-1026.6000000000004,9,1,0,1,1,13602.4,13830.6,12804.0,0,0,1,183
35,-14189.57,8,1,0,1,1,13732.1,17976.2,3786.63,0,0,1,184
33,-20960.260000000002,11,1,0,1,1,14660.7,25142.2,4181.94,0,0,1,185
47,0.0,12,0,0,0,0,0.0,0.0,0.0,1,1,0,11000
50,0.0,12,1,0,1,0,0.0,0.0,0.0,1,1,0,2491
44,0.0,12,0,0,0,0,0.0,0.0,0.0,1,1,0,3100
28,0.0,12,1,0,1,0,0.0,0.0,0.0,1,1,0,4100
54,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,5100
55,0.0,12,0,1,1,0,0.0,0.0,0.0,1,1,0,6100
47,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,7100
25,0.0,12,1,0,0,0,0.0,0.0,0.0,1,1,0,8100
44,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,9100
50,0.0,12,1,0,1,0,0.0,0.0,0.0,1,1,0,10100
23,4728.72509765625,12,1,0,0,0,0.0,0.0,4728.72509765625,1,1,0,11100
49,0.0,14,0,0,1,0,0.0,0.0,0.0,1,1,0,12100
55,0.0,14,0,0,1,0,0.0,0.0,0.0,1,1,0,13100
34,0.0,14,1,0,1,0,0.0,0.0,0.0,1,1,0,14100
34,11821.8134765625,16,0,0,1,0,0.0,0.0,11821.8134765625,1,1,0,15100
55,0.0,13,0,1,1,0,0.0,0.0,0.0,1,1,0,16100
52,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,17100
52,0.0,15,0,0,1,0,0.0,0.0,0.0,1,1,0,18100
30,0.0,16,0,0,1,0,0.0,0.0,0.0,1,1,0,19100
21,0.0,12,0,0,0,0,0.0,0.0,0.0,1,1,0,20100
30,0.0,17,0,0,0,0,0.0,0.0,0.0,1,1,0,21100
44,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,22100
46,0.0,12,0,0,0,0,0.0,0.0,0.0,1,1,0,23100
53,0.0,17,0,0,1,0,0.0,0.0,0.0,1,1,0,2492
26,9014.1318359375,16,0,0,0,0,0.0,0.0,9014.1318359375,1,1,0,2510
49,13299.5390625,12,0,0,1,0,0.0,0.0,13299.5390625,1,1,0,2610
39,1921.04455566406,15,0,0,1,0,0.0,0.0,1921.04455566406,1,1,0,2710
26,11821.8134765625,17,0,0,1,0,0.0,0.0,11821.8134765625,1,1,0,2810
32,0.0,16,0,0,1,0,0.0,0.0,0.0,1,1,0,2910
34,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,3010
31,0.0,14,0,0,1,0,0.0,0.0,0.0,1,1,0,3110
39,8866.359375,17,0,1,1,0,0.0,0.0,8866.359375,1,1,0,3210
40,0.0,17,0,0,1,0,0.0,0.0,0.0,1,1,0,3310
31,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,3410
27,28076.8046875,13,0,0,1,0,0.0,0.0,28076.8046875,1,1,0,3510
48,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,3610
41,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,3710
26,0.0,14,0,0,0,0,0.0,0.0,0.0,1,1,0,3810
50,0.0,17,0,0,0,0,0.0,0.0,0.0,1,1,0,3910
48,12930.1083984375,12,0,0,1,0,0.0,0.0,12930.1083984375,1,1,0,4010
45,0.0,16,0,0,1,0,0.0,0.0,0.0,1,1,0,4110
37,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,4210
33,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,4310
31,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,4410
36,17732.71875,12,1,0,1,0,0.0,0.0,17732.71875,1,1,0,4510
44,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,4610
28,0.0,17,0,0,1,0,0.0,0.0,0.0,1,1,0,4710
30,0.0,17,0,0,1,0,0.0,0.0,0.0,1,1,0,4810
42,0.0,16,0,0,1,0,0.0,0.0,0.0,1,1,0,4910
30,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,5010
27,0.0,16,0,0,1,0,0.0,0.0,0.0,1,1,0,5110
37,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,5210
37,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,5310
45,22165.8984375,12,0,0,1,0,0.0,0.0,22165.8984375,1,1,0,5410
35,0.0,16,0,0,1,0,0.0,0.0,0.0,1,1,0,5510
37,66497.6953125,17,0,0,1,0,0.0,0.0,66497.6953125,1,1,0,5610
27,0.0,17,0,0,1,0,0.0,0.0,0.0,1,1,0,5710
47,0.0,14,0,0,1,0,0.0,0.0,0.0,1,1,0,5810
48,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,5910
42,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,6010
43,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,6110
46,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,6210
46,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,6310
46,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,6410
29,8396.4423828125,16,0,0,1,0,0.0,0.0,8396.4423828125,1,1,0,6510
39,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,6610
32,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,6710
48,0.0,16,0,0,1,0,0.0,0.0,0.0,1,1,0,6810
48,0.0,16,0,0,1,0,0.0,0.0,0.0,1,1,0,6910
41,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,7010
42,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,7110
42,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,7210
42,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,7310
54,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,7410
29,0.0,14,0,0,1,0,0.0,0.0,0.0,1,1,0,7510
54,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,7610
54,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,7710
26,0.0,14,0,0,1,0,0.0,0.0,0.0,1,1,0,7810
43,36943.1640625,17,0,0,1,0,0.0,0.0,36943.1640625,1,1,0,7910
54,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,8010
37,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,8110
54,0.0,16,0,0,1,0,0.0,0.0,0.0,1,1,0,8210
48,0.0,17,0,0,1,0,0.0,0.0,0.0,1,1,0,8310
44,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,8410
54,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,8510
38,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,8610
37,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,8710
27,0.0,17,0,0,1,0,0.0,0.0,0.0,1,1,0,8810
51,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,8910
39,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,9010
55,0.0,14,0,0,1,0,0.0,0.0,0.0,1,1,0,9110
54,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,9210
54,0.0,13,0,0,1,0,0.0,0.0,0.0,1,1,0,9310
34,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,9410
50,0.0,14,0,0,1,0,0.0,0.0,0.0,1,1,0,9510
50,0.0,12,0,0,1,0,0.0,0.0,0.0,1,1,0,9610
21,3585.7603912353466,14,0,1,0,0,0.0,71.6128997802734,3657.37329101562,1,0,0,9710
26,-71.6128997802734,12,0,0,1,0,0.0,71.6128997802734,0.0,1,0,0,9810
21,1967.052856445312,13,0,0,0,0,0.0,692.854858398438,2659.90771484375,1,0,0,9910
23,-1521.77416992188,16,0,0,1,0,0.0,1521.77416992188,0.0,1,0,0,10010
21,11554.68505859375,15,0,0,0,0,0.0,3222.58056640625,14777.265625,1,0,0,10110
23,1918.203125,14,0,0,0,0,0.0,3401.61279296875,5319.81591796875,1,0,0,10210
27,-4833.87109375,16,0,0,1,0,0.0,4833.87109375,0.0,1,0,0,10310
25,20870.0458984375,12,0,0,1,0,0.0,5729.0322265625,26599.078125,1,0,0,10410
27,1301.5361328125,17,0,0,0,0,0.0,6087.0966796875,7388.6328125,1,0,0,10510
55,4077.95703125,12,0,0,1,0,0.0,6266.12890625,10344.0859375,1,0,0,10610
20,-7161.29052734375,12,0,0,1,0,0.0,7161.29052734375,0.0,1,0,0,10710
18,11153.99365234375,12,0,0,1,0,0.0,8056.45166015625,19210.4453125,1,0,0,10810
27,12452.6875,12,0,0,1,0,0.0,8235.484375,20688.171875,1,0,0,10910
28,27991.55078125,16,0,0,1,0,0.0,8951.61328125,36943.1640625,1,0,0,11010
36,2870.2001953125,12,1,0,1,0,0.0,8951.61328125,11821.8134765625,1,0,0,11110
33,9946.2373046875,13,1,0,1,0,0.0,10741.9345703125,20688.171875,1,0,0,11210
36,-10741.9345703125,12,0,0,1,0,0.0,10741.9345703125,0.0,1,0,0,11310
27,13441.6279296875,13,0,0,1,0,0.0,16112.9033203125,29554.53125,1,0,0,11410
45,1619.8154296875,17,0,0,1,0,0.0,16112.9033203125,17732.71875,1,0,0,11510
45,1619.8154296875,17,0,0,1,0,0.0,16112.9033203125,17732.71875,1,0,0,11610
45,1619.8154296875,17,0,0,1,0,0.0,16112.9033203125,17732.71875,1,0,0,11710
31,-17903.2265625,12,0,0,1,0,0.0,17903.2265625,0.0,1,0,0,11810
34,45639.015625,12,0,0,1,0,0.0,17903.2265625,63542.2421875,1,0,0,11910
34,45639.015625,12,0,0,1,0,0.0,17903.2265625,63542.2421875,1,0,0,12010
47,4262.671875,14,0,0,1,0,0.0,17903.2265625,22165.8984375,1,0,0,12110
35,-1960.830078125,16,0,0,1,0,0.0,19693.548828125,17732.71875,1,0,0,12210
43,8392.91796875,17,0,0,1,0,0.0,21161.61328125,29554.53125,1,0,0,12310
25,-20263.26892089844,12,1,0,1,0,0.0,21483.87109375,1220.60217285156,1,0,0,12410
29,829.80078125,15,0,0,0,0,0.0,21483.87109375,22313.671875,1,0,0,12510
31,-795.69921875,12,0,0,1,0,0.0,21483.87109375,20688.171875,1,0,0,12610
52,682.02734375,12,0,0,1,0,0.0,21483.87109375,22165.8984375,1,0,0,12710
22,9951.919921875,16,0,0,0,0,0.0,22558.064453125,32509.984375,1,0,0,12810
53,3907.44921875,15,0,0,1,0,0.0,24169.35546875,28076.8046875,1,0,0,12910
29,10939.154296875,17,0,0,1,0,0.0,25959.677734375,36898.83203125,1,0,0,13010
31,13938.939453125,13,0,0,1,0,0.0,25959.677734375,39898.6171875,1,0,0,13110
35,3415.8203125,12,0,0,1,0,0.0,26138.7109375,29554.53125,1,0,0,13210
29,-3211.21484375,16,0,0,1,0,0.0,26854.83984375,23643.625,1,0,0,13310
39,2387.09765625,12,0,0,1,0,0.0,28645.16015625,31032.2578125,1,0,0,13410
37,-32225.806640625,14,0,0,1,0,0.0,32225.806640625,0.0,1,0,0,13510
30,-10059.908203125,14,0,0,1,0,0.0,32225.806640625,22165.8984375,1,0,0,13610
43,-875.26953125,17,0,0,1,0,0.0,42251.61328125,41376.34375,1,0,0,13710
32,-6649.76953125,17,0,0,1,0,0.0,46548.38671875,39898.6171875,1,0,0,13810
44,9662.0546875,12,0,0,1,0,0.0,71612.90625,81274.9609375,1,0,0,13910
32,11698.36669921875,16,0,0,1,0,577.983703613281,6910.64501953125,18609.01171875,0,0,0,14010
43,4031.0675048828098,12,1,0,1,0,715.132385253906,1879.83874511719,5910.90625,0,0,0,14110
24,10344.0859375,12,1,0,0,0,783.706726074219,0.0,10344.0859375,0,1,0,14210
22,2305.25341796875,13,0,0,0,0,783.706726074219,0.0,2305.25341796875,0,1,0,14310
35,-537.096740722656,15,0,0,1,0,979.633422851562,537.096740722656,0.0,0,0,0,14410
26,1371.15979003906,15,0,0,0,0,979.633422851562,1879.83874511719,3250.99853515625,0,0,0,14510
29,-8951.61328125,17,0,0,1,0,979.633422851562,8951.61328125,0.0,0,0,0,14610
23,2688.32568359375,12,1,0,0,0,1077.5966796875,3222.58056640625,5910.90625,0,0,0,14710
19,18005.529296875,12,0,0,1,0,1154.00805664062,8593.548828125,26599.078125,0,0,0,14810
48,-313.6474609375,16,0,0,1,0,1240.21594238281,1466.27416992188,1152.62670898438,0,0,0,14910
48,-313.6474609375,16,0,0,1,0,1240.21594238281,1466.27416992188,1152.62670898438,0,0,0,15010
22,0.0,12,1,0,1,0,1269.60485839844,0.0,0.0,0,1,0,15110
20,-9576.8046875,12,1,0,0,0,1367.56823730469,12532.2578125,2955.453125,0,0,0,15210
24,24825.806640625,17,0,0,1,0,1371.48681640625,0.0,24825.806640625,0,1,0,15310
27,3110.50073242188,16,0,0,1,0,1469.45007324219,1253.22583007812,4363.7265625,0,0,0,15410
21,8397.46533203125,14,0,0,0,0,1506.67614746094,2685.48388671875,11082.94921875,0,0,0,15510
53,790.01538085937,13,0,0,1,0,1567.41345214844,3938.70971679688,4728.72509765625,0,0,0,15610
53,790.01538085937,13,0,0,1,0,1567.41345214844,3938.70971679688,4728.72509765625,0,0,0,15710
53,2955.453125,16,0,0,1,0,1665.37683105469,0.0,2955.453125,0,1,0,15810
22,16794.9306640625,15,0,0,1,0,1763.34008789062,5370.9677734375,22165.8984375,0,0,0,15910
21,-5530.10791015625,15,0,0,0,0,1763.34008789062,9667.7421875,4137.63427734375,0,0,0,16010
30,-312.59606933594,12,0,0,1,0,1959.26684570312,1790.32263183594,1477.7265625,0,0,0,16110
