black,hispanic,married,education,treat,age,re74,re75,re78
1,0,0,11,1,18,12210.32677292084,14765.929512732686,8942.782833766509
1,0,1,13,0,42,15245.388938605167,9133.015336080543,4221.379672761379
0,0,1,11,1,42,16655.19508412625,12372.53235753697,29667.724956634862
0,0,1,11,0,42,22934.99940069539,16602.171644889982,21320.479865450463
0,0,0,11,0,17,9088.126856271094,10805.710037721446,0.0
1,0,1,10,0,47,19793.847195253227,15006.113757969488,16367.587952771906
1,0,1,15,1,23,11188.652775008908,11102.402897473838,26665.098805650905
1,0,1,8,1,27,2399.5914458926654,3741.953096247602,16098.910101808346
0,0,1,18,0,37,0.0,198.42626966805983,9852.821115715034
0,1,1,7,0,26,17424.22495732733,28663.763175743727,21168.514426004087
0,0,1,22,1,33,30858.41656600537,28712.026350077045,26967.039097113597
0,0,1,13,1,33,4626.982312711971,18012.164386864002,47806.816471029706
1,0,1,11,0,34,16729.41436819623,21674.14947497859,31120.139704855315
0,0,1,15,0,27,22718.933927262842,15740.713484981381,8410.055924544673
0,0,1,12,1,49,43407.48087428804,43925.597973521115,51278.41340674687
1,0,1,10,1,46,29314.148578705055,30902.410534148854,38163.69385266143
0,0,1,9,0,33,4406.723958549814,7797.918917932759,4888.509931770124
0,0,1,13,1,30,14770.614339545311,15650.677743981156,44865.7619475303
0,0,1,9,1,42,11845.24542478342,13267.93249013125,20461.069039534435
1,0,1,8,1,35,8364.37632054053,6545.673295215423,10503.857430159216
0,0,1,13,1,37,19459.68381862419,25592.676218984117,35172.3161704192
0,0,1,15,1,32,33380.172921610065,31907.344395516444,49778.81406897646
0,0,1,13,0,45,28488.389956278283,15172.121701624634,8065.163830594627
0,0,1,9,0,37,16032.614766378767,15955.814275856528,25077.012062255555
1,0,1,4,1,45,2237.508389974537,0.0,5007.151457564021
0,0,1,14,0,32,43641.30208391118,38332.480710254706,39707.17875860007
0,0,0,16,0,33,41190.90566324506,43120.63773656823,52760.05887105006
0,0,1,13,0,29,0.0,0.0,0.0
1,0,0,9,0,24,18427.03313307827,14611.598051076251,6809.168268503474
0,0,1,12,0,35,28097.746442155916,19359.15507508438,1171.4181115075044
1,0,0,14,1,32,0.0,1958.3732082479528,6172.161688181789
1,0,0,14,1,31,26889.431896762788,19008.38522523208,35367.94186143989
0,0,1,18,1,29,15081.06002440751,11817.818264239808,23579.746699648407
0,0,1,11,0,43,24921.974562536427,18487.050510898807,13587.567369641829
0,0,1,12,1,43,21427.835193624574,6464.947893690292,13422.161354097632
0,0,1,14,0,37,27484.05180239763,16691.181996463776,28495.774812198462
0,0,0,15,1,28,27471.962699841893,28238.634507397983,33974.8335783481
1,0,0,19,0,32,26872.68542497363,27823.787935321372,13303.60891272981
0,0,0,14,0,36,22385.836402882756,26156.348803054523,27298.754436484087
0,0,1,12,1,43,6181.589695520437,4073.5961800138975,8953.187638481864
0,0,1,11,0,31,27909.30004386972,39929.23147752802,50182.7489783809
0,0,1,14,1,33,42165.94946372705,36404.40238485885,59863.80790162786
0,0,1,10,0,43,16033.621311001727,11629.013615852095,0.0
0,0,1,16,1,42,28679.52279139419,25584.232966467185,45491.80413404753
0,0,1,16,1,44,31400.62143555254,33022.464151743035,22708.94140057807
1,0,1,12,1,42,17529.073719935324,20082.000436838836,39285.04817929101
1,0,1,7,1,38,15366.65039772749,15422.341639315155,31001.689496751307
1,0,1,15,1,27,1548.0320705256581,6629.888708944192,5839.674547936618
0,0,1,13,0,25,39581.88461130224,33339.92702009203,39248.20032836979
0,1,1,10,0,39,11132.0674518852,7809.235875119981,18547.546340055316
1,0,1,5,0,44,16746.51729059251,16915.987666161414,17567.756790354382
0,0,1,8,0,33,11585.716476954636,3921.305017852046,36643.638125889905
1,0,1,10,0,33,13959.54395283619,25469.981510619742,23349.301819177705
0,0,1,13,0,40,21982.710577886563,10734.593143280463,22430.22281405002
1,0,1,12,0,33,8050.301513818991,9997.225230025202,12969.641622711932
0,0,0,11,0,19,10159.184240871733,8629.623005709454,28810.84735065254
0,0,1,11,1,24,17114.38891733714,17543.058162861606,31114.937498185554
1,0,1,11,1,37,35556.313433544216,25925.488623261692,25753.51417696971
0,0,1,10,1,33,35665.477119954245,28780.5509618153,4885.411041660734
0,1,1,13,1,45,39988.345899949636,33513.36077676228,19051.708357658867
0,0,1,15,0,30,45242.321362665374,39315.214407380525,43416.67434675919
0,0,1,15,0,30,27006.17502282097,24463.900670420953,13176.401591527738
1,0,1,18,1,18,20234.68078386606,11004.215858570147,5505.280136003045
1,0,1,12,0,51,13488.093261616184,14782.078578661718,23946.492332169746
0,0,1,12,0,51,38226.00537807004,32689.542753273276,28854.886587868128
0,0,1,16,1,21,23296.808372534277,14682.971127555847,11111.886203499544
0,0,0,10,0,41,30022.712051117218,28283.244515488674,36096.33451488941
1,0,1,9,1,29,15966.809296279067,13354.17564291454,22237.00693690365
0,0,1,16,1,30,3453.031219142493,0.0,17435.983841535563
1,0,0,16,1,20,8251.631938167575,6836.21876727342,16813.57063703691
1,0,1,7,1,29,3366.9997430399253,0.0,4566.849849236679
0,0,1,14,0,37,38971.71364511972,41238.7419534486,28525.721734320552
0,0,1,14,0,66,37993.545361012875,46024.047117551396,25788.953385868426
0,0,1,10,0,30,12958.964732542454,6184.723557002351,20636.640918318433
1,0,1,7,0,43,29087.197516432716,30821.25366790144,37559.6653878319
0,0,0,10,1,25,32230.143988209315,37526.40755892518,56664.33261314759
0,0,1,10,1,43,37961.425049697136,29260.487324040103,55944.20413568083
0,0,1,12,1,24,21947.714872512,7618.696763221764,33188.76993166825
0,0,1,17,0,25,37649.91657108526,34624.44513458789,51448.93204119777
1,0,1,12,1,36,23928.006317457413,22245.596983489682,13924.938787447509
1,0,1,8,0,35,0.0,0.0,0.0
0,0,1,9,0,43,0.0,3246.106764847671,10405.025950181005
0,0,1,12,0,42,30651.397822171268,25447.44389462126,7624.477114638719
0,0,1,12,0,26,8480.344046889351,17245.85164327136,21214.863192654568
0,0,1,6,0,42,5267.770551851096,0.0,0.0
1,0,1,4,0,31,18311.06459759324,11652.669277073343,7183.54723951348
0,0,1,11,0,18,53270.35101447697,48391.762083460715,62002.1513446151
0,0,0,14,0,23,43177.39794340569,45577.8008592788,41783.12472087701
0,0,1,15,1,36,22292.886051101694,22452.240859470774,25852.988474067355
1,0,1,9,1,47,25257.07800819948,11934.269367435205,18568.408074982653
0,0,1,15,1,40,0.0,0.0,5830.027465772376
0,0,1,14,0,46,19041.798009827253,35287.41717990593,37407.17644969185
0,0,1,9,0,29,14425.094211920305,10867.104941773077,13603.204447067463
0,0,1,9,0,31,0.0,0.0,0.0
0,0,1,10,1,35,14082.392681085232,18349.649743815662,23095.94074850712
1,0,1,12,1,30,12845.422434721855,20265.202199976262,8136.768994652458
0,0,1,15,1,44,14154.12380631547,7913.0657511533645,29415.632572685103
0,0,1,17,0,40,17415.552157633374,23078.604600288654,22667.32338256745
0,0,1,12,0,35,4031.33414308232,0.0,0.0
0,0,1,10,1,36,0.0,13151.784391236262,4575.966602830316
0,0,1,15,1,39,25495.424466808083,31325.057136437044,34567.50809639723
0,0,0,13,1,47,36988.56999488077,38421.17877830823,41390.77951217423
1,0,1,7,1,37,11955.754382049345,6521.125248634816,5774.023491351503
0,0,1,14,1,45,15695.38259621042,24364.92206730157,21592.72812971915
0,0,1,13,0,34,57958.116190262175,56109.97879586346,64410.85847361637
0,0,1,14,1,48,27671.56614219789,23825.632054863283,32933.757924248595
1,0,1,8,0,35,10274.167086003103,11069.396623785071,8427.731475692526
0,0,1,13,1,32,15879.567521641413,25331.828552889605,16841.948651792747
0,0,1,16,0,38,16240.198425564324,27338.57713838487,1025.8240469632437
0,0,1,12,1,30,23023.891074774954,32347.02378382689,34433.84111704866
1,0,1,13,0,45,15550.25596256541,19098.9370710333,21162.500790492988
0,1,1,15,0,28,1794.8892101372276,0.0,7181.0487581400175
0,0,1,11,0,39,25287.00122973867,25604.731790665515,19212.661219952282
0,0,1,9,0,28,0.0,0.0,0.0
1,0,1,9,0,39,11726.723539125309,19313.620242411573,6874.469343857509
0,1,0,12,0,24,18338.556843293558,22225.419053560763,36858.632424378244
1,0,1,9,0,42,11727.25926815993,9518.604092958001,0.0
0,0,1,10,0,24,20738.061943015357,19409.16660904349,43032.129088583904
1,0,1,11,1,33,13070.459735078592,6285.573184796967,19522.704694944085
0,0,1,14,0,26,38206.98189106105,24791.589232054255,41482.02465675496
0,0,1,14,1,39,12814.96902633343,17143.412077999135,34280.07224498947
0,0,1,13,0,28,9628.459213591419,16736.614257913454,16304.70156765288
0,0,0,16,1,18,16338.132668030306,17228.0665684765,22847.188886757496
0,0,0,18,0,33,61805.693459791044,42622.408663012546,32499.0120075414
0,0,1,10,1,40,40209.618878688416,38173.32460166274,37665.6022184245
0,0,1,14,0,27,37430.01553203989,28825.73485498912,50475.70931319249
0,0,1,13,0,25,26599.071979793764,25646.9136167006,26454.576274564886
0,0,1,10,0,30,0.0,0.0,8309.010532750513
0,0,1,10,1,32,25364.119540074054,33230.57208953882,23795.54491649643
1,0,1,12,1,29,19530.010646322604,12737.900764024016,14154.987972692878
0,0,1,17,1,39,42552.54427118726,30817.354509471028,29154.86113056593
1,0,1,8,1,38,25402.309746456427,24656.399200008127,38893.31054243783
0,0,1,11,1,33,25481.014322118295,31946.267828101812,30958.189855092736
0,0,1,9,1,31,26867.346026328934,9688.291693801324,5156.923448284862
0,0,1,12,1,48,3541.775475713577,15113.651729994479,28031.577230347764
1,0,1,7,1,51,20876.394338104015,20059.528173198887,5284.397077461892
1,0,1,9,0,56,7740.806738050236,14315.325700186964,9411.3272044035
0,0,1,12,1,30,12726.61058550902,12394.277371877533,38428.74642363716
0,0,1,15,0,30,56750.75882766566,34480.24209432109,45384.583931242945
0,0,1,13,1,32,6932.082796552444,30321.612802486925,30615.416086351535
0,0,1,12,1,33,24153.74127267181,19661.01046695823,7394.8388715696665
0,0,1,12,0,44,38411.45157614816,30120.802459111957,36201.60439556887
0,0,1,11,0,32,34274.126541066755,25616.777061777135,24996.860609030547
0,0,1,13,0,48,37058.25246092522,30536.990877640194,42764.32947559969
0,0,1,14,1,30,6185.797841715217,15419.214218799598,44468.06402508218
1,0,0,13,0,23,6292.665463190444,7892.221052055845,10399.33408572881
0,0,1,14,0,43,31571.23571517792,29902.252875804526,35749.488243807034
0,0,1,13,0,54,35738.88639557364,40398.973146762706,19198.02118710284
0,0,1,17,0,46,17863.782601767867,10586.648040196975,24865.543379625946
0,1,1,11,0,21,8304.198950898086,16316.140704655845,18748.1301299788
0,0,0,9,0,30,590.470864402705,0.0,17186.550492716815
0,0,1,19,0,30,37053.31052058409,33089.841709647444,62613.3353579005
0,0,1,6,0,42,22670.40847772814,26382.957562375923,2322.029116220663
0,0,1,11,1,36,12675.110503251055,16269.389602018186,10741.309572749418
0,1,1,6,1,34,29724.606897364665,31359.992072793837,31964.214851044897
1,0,1,10,1,33,18979.715681370704,20450.198739155967,40995.46932954399
0,0,1,14,0,32,0.0,0.0,7411.110277826194
0,0,1,17,0,28,36950.28144072339,44855.9913298014,52799.160392214704
0,0,1,15,1,24,1649.3568051027578,800.7909531339028,15733.180563626966
0,0,1,14,0,32,0.0,0.0,0.0
0,0,1,13,1,36,18126.727664010778,26088.98263508721,36573.99004622002
0,0,1,12,1,56,39403.58650447945,33110.151323246304,46666.86154093005
0,0,1,12,1,27,14141.785536373529,7904.831130665474,30868.608772624495
1,0,1,12,1,39,28631.77699202688,31097.560323916055,30199.643443950878
1,0,1,10,1,47,18552.81791483312,25083.879101184295,17357.128823405597
0,0,1,10,0,50,29181.723126655248,27397.44951779281,27281.06840655567
1,0,0,5,1,47,15534.168185964783,20053.43398899008,31540.393967082142
0,0,1,11,1,36,14749.067214090079,25212.30615155786,5210.189024352255
0,0,1,14,1,32,14227.232329725295,30451.757134883774,25950.055724484773
1,0,1,10,0,19,5644.195746335874,0.0,19034.496601733747
1,0,1,8,1,53,9151.558462458863,5145.459466170008,11193.714082107057
0,0,0,14,0,20,13075.9038512487,22589.90098930434,14023.879555835158
0,0,1,15,0,46,28410.408069683865,29759.656222354388,23350.15007160877
1,0,1,7,1,60,16201.470234854101,20352.991238846116,15253.797829989355
0,0,1,14,0,30,7483.075728281527,6281.580766919935,0.0
1,0,1,12,1,30,26238.88905366306,27882.58481088705,41003.615971342784
0,0,1,15,1,34,31185.852052948547,30155.41056130964,34606.72712666791
1,0,1,11,1,28,0.0,0.0,10006.24965139445
0,0,0,14,1,29,22044.944028855418,21713.564235611982,6271.320679495218
0,0,1,15,0,28,17224.283440082254,16854.05821107625,14553.243661352873
0,0,1,11,0,43,45061.34273299605,41481.48417832743,44792.972581216556
1,0,1,12,1,29,0.0,0.0,12072.761758337807
0,0,1,11,0,35,22555.127488487684,34164.45750642829,30771.62300475456
0,0,0,12,0,28,45485.68019686625,37861.754202031676,59908.28705444473
0,0,1,9,0,36,27697.82056406696,32768.13492039719,31115.048151568102
0,1,1,12,0,40,0.0,5535.753901762861,20982.875225259017
0,0,1,11,1,27,15945.848022640164,22471.169644918602,32384.734188894938
1,0,1,6,0,53,13080.900617521478,11578.491826567657,19403.281026003933
0,0,1,16,0,24,6820.065197649448,2263.588783272262,10483.17231077974
1,0,1,9,0,40,11249.631400717795,11922.220988763882,18312.182087629022
0,0,1,9,0,25,8384.945402748506,10353.673513802272,15144.070818744738
1,0,0,16,0,32,31796.54586412003,38876.998598411665,39661.743361354944
0,0,1,14,1,42,12240.430010991902,5417.655718030044,21643.74454650637
1,0,0,10,1,35,17883.59492731699,9913.070793373206,23805.644456424612
1,0,1,13,1,37,6957.335228896572,8643.016264570995,16359.22753108509
1,0,1,9,1,40,3171.6409604463515,1406.7759897108353,8268.24531214968
1,0,1,14,1,31,17284.07518101173,14259.881712921608,14717.051052864694
0,0,1,11,0,26,43370.74901913448,35984.77336352429,27463.010066956063
0,0,0,16,0,41,46826.03044499254,36956.11828393481,37223.02565101533
1,0,1,10,0,35,22844.264733503056,20501.707214017344,4161.71272510567
0,0,1,12,0,34,36244.14949592652,42507.44721148648,44846.05641727145
0,0,0,16,0,27,17612.330004092095,8749.715867370951,13935.901423335827
0,0,1,12,1,41,26805.58913891018,18878.400975028646,23235.81835129252
1,0,0,9,1,39,24333.025505981437,21157.42623677178,27434.764793540377
0,0,1,14,0,44,22138.515565906127,34687.22517346767,24860.94716198708
0,0,1,19,0,22,32267.356715491867,22219.995763156992,33458.29798102152
1,0,1,8,0,42,17639.35831805837,11068.79790884088,0.0
0,0,1,14,0,38,9662.527880610756,15968.432190759635,12609.404862322657
1,0,1,5,1,54,19002.69724119377,15208.155668640034,32560.381739645723
0,0,1,10,0,38,34854.2317228645,36987.13894291766,37240.20490237793
0,1,1,12,0,30,32517.181678650246,26619.92794291573,23971.972643373403
0,0,1,20,1,36,36895.04005754432,27131.86843260895,29911.068808704465
1,0,0,14,0,33,15113.748887020702,25390.03958577366,21029.747444829598
1,0,1,14,1,32,16098.369369019292,15782.141447459257,27409.894821142734
0,0,1,12,0,29,11468.234571078277,9559.917879469378,26526.32621306973
1,0,1,9,0,42,2809.921823831992,3793.635555854853,15431.482538631473
1,0,1,11,0,23,0.0,0.0,9726.255876186091
0,0,1,15,0,35,39688.5837220275,24728.697097683777,29479.0856079867
0,0,1,15,1,33,0.0,0.0,4520.853276105476
1,0,1,10,0,31,21716.37923109622,14598.148877096535,9554.809993126753
0,0,1,15,1,37,16870.88430800023,17849.04446493587,30062.97304377102
0,0,1,8,0,37,0.0,0.0,13669.935982265259
0,0,1,10,1,50,30867.882116443936,43558.13849066732,38819.79187627639
0,0,1,15,1,41,2451.3793161113717,17587.966797436806,5649.78575198592
0,1,1,12,1,49,44332.94784150025,66504.84183574653,59440.65661382792
0,0,1,14,0,30,27444.445303073157,19023.893902507807,14530.564559624405
0,1,1,15,0,32,12071.992966986109,10018.787360214463,0.0
0,0,1,12,1,31,31974.799009790626,14762.712131728866,53173.17709692713
0,0,1,15,0,43,29392.651610073524,30523.439457019886,28703.060043284535
1,0,0,9,0,47,9708.899056453916,4929.693353466664,11324.911620091596
0,0,1,8,1,33,11933.526540630291,221.05539998855602,5009.868056874976
0,0,1,9,0,36,8500.731875976675,3788.772001061974,12348.217599407113
0,0,1,12,1,60,26999.741585269378,30823.66940839404,36149.64000935019
0,0,1,12,0,52,27451.132593869916,29424.30153660477,17675.83970856168
1,0,1,8,0,34,3318.6174319182046,0.0,0.0
0,0,0,16,0,20,28321.076876319632,28236.912285667702,26433.73051935435
0,0,1,11,0,33,30822.66419486412,21787.145332815722,35373.05877723655
0,0,1,10,0,52,5305.086780064601,10769.068832164507,6539.103747855494
0,0,1,14,0,41,27317.83824125123,26661.092920429786,40688.74602256309
1,0,1,10,0,28,8970.512927746935,12297.165773414572,6842.891315048946
0,1,0,12,0,32,37562.56972062767,20184.34634225613,44550.89456873138
0,0,0,15,1,43,38540.550490617636,37677.60460429844,29632.850043308583
0,0,1,16,0,32,8475.995818165646,11690.94847422803,16972.804184650107
1,0,1,13,1,37,22229.11845386501,16035.956800984866,24181.559682320767
0,0,0,11,1,42,28851.55436267122,21908.692666027247,50282.512293228996
0,0,1,16,0,34,9495.754819472817,7589.957298878262,4915.412018395953
1,0,1,13,1,22,16378.130109024052,11171.075584664693,14736.991748957556
0,0,1,13,0,25,0.0,0.0,0.0
0,0,1,12,0,35,16357.08854152033,19006.829783587666,26627.60191290895
0,0,1,15,0,39,6453.937465093508,13120.987189081701,15048.189050455614
0,0,1,10,0,34,41770.23510605122,35612.18378532295,41452.770086868404
1,0,1,12,1,37,31086.63681918173,26317.462431925087,29251.061631664423
0,0,0,13,0,30,0.0,0.0,2911.786540104549
0,0,1,20,0,21,31711.56775212456,16715.151013461593,32805.169322288246
0,0,1,15,1,36,38559.4332141639,42087.4642599206,52579.376070223465
1,0,0,11,1,36,21656.426190340226,20534.641819051292,29280.98457416735
1,0,1,9,1,42,11603.571296665994,15099.054648559315,5393.442989148907
1,0,1,8,0,41,8501.359955541022,13153.209766098416,11675.512073576268
0,0,0,11,0,51,17046.47247709016,16475.304007961688,7593.988981376939
1,0,1,14,1,41,32591.97979777165,30651.64615785182,38646.20086257438
0,0,1,18,1,39,40425.83123312509,46277.335772453516,63240.93276211264
0,0,1,14,1,41,23713.91827452609,17659.440174860516,34293.410489777496
1,0,1,9,1,33,15331.96699584469,10957.014650518535,14302.17597675668
0,0,0,17,0,23,36197.4827367654,35414.3715456352,51039.360025380476
1,0,1,12,1,27,11024.361571641015,11196.377161021057,21272.193664809423
1,0,1,11,1,42,27910.259804135287,25572.181700325396,25416.72640107037
0,1,1,12,1,20,17409.60200208531,11333.05234464831,42319.32742140943
0,0,1,15,1,26,19400.35292874475,36717.58396338346,33867.98976035381
1,0,0,14,1,17,18157.838336731686,22935.02724174119,24664.664816604665
0,0,1,7,0,25,369.7714581157161,10631.614468260572,6501.473067922896
0,0,1,11,0,48,33427.1288629227,34246.49306224731,51003.01612137057
0,0,0,16,0,22,17284.34999423367,10082.2556178588,15675.170610944368
1,0,0,7,1,62,22374.785795931017,31033.363069782703,19552.47928238623
0,0,0,13,0,36,16317.609523627896,40452.75735618491,48036.00974242623
0,0,0,9,0,38,2520.9491344451453,13173.918473780932,0.0
0,0,1,15,1,49,31501.80287830619,27421.461741152456,28064.86273316542
0,0,0,8,0,42,1434.966187248694,141.90850201233843,0.0
0,0,0,12,1,19,0.0,0.0,22153.741489077576
0,0,1,10,0,35,43154.51364924194,47608.728443549786,45443.98100300135
1,0,1,10,0,49,14283.077736232062,19851.369229234242,22887.763023976357
0,0,1,8,1,57,20022.391406377577,34285.01049514602,36757.98823295889
0,0,1,9,1,42,50659.05302409094,39102.05263667472,34124.950842395505
0,0,1,10,0,40,11932.187208677455,13180.474099508061,24261.10423733727
0,0,1,12,0,31,14742.021625212492,9276.333096420905,15256.411912688749
0,0,1,12,0,30,21342.611714628038,8791.891640968415,6213.881198714345
0,0,1,13,0,52,24413.54138247519,32241.923438405145,18572.77106391339
1,0,1,11,0,31,14165.375610616029,9021.868261713045,13473.454974922042
0,0,1,8,1,30,408.0913226872399,6105.355894291408,28093.99712233745
0,0,1,10,1,40,13937.743736346449,0.0,11310.1505081596
1,0,1,12,1,23,3851.365593340248,0.0,11827.114484569076
0,0,1,12,1,46,42698.032778077555,33761.13387672597,34571.14869828611
0,0,1,16,1,24,8039.432227558762,3850.2996026897454,25551.92484983229
0,0,1,18,1,41,9944.032926467338,9926.02183959142,35693.6626618217
0,0,1,14,0,47,19594.495295006596,29835.27341393701,45210.47216324009
1,0,1,6,1,36,2751.685758131707,0.0,14242.170899223387
1,0,1,12,0,22,30475.482963290087,27033.062476574127,38508.875734322406
0,0,1,7,0,38,21215.475873550902,8300.452536092182,25420.871815526552
1,0,1,8,1,41,10794.234669569743,17404.482150697168,28697.574478558752
1,0,1,6,1,46,33421.57201800878,26685.316773140148,42285.765123422214
0,0,1,13,1,43,22062.253154932903,28487.060557790996,45800.006945240726
0,0,0,19,1,27,6982.770260369834,14301.730876447236,29484.201001747682
1,0,1,8,1,36,16040.410207327079,22171.672968386712,26515.996299071252
0,0,1,8,0,27,46961.28992237366,35267.90992913934,39722.53770548489
0,0,1,16,1,39,27055.51219253361,32506.340885561272,34402.364886646974
0,0,1,16,1,32,21975.76970918376,14329.439171939237,31110.468406773547
1,0,0,15,1,23,23302.471892629168,19453.985915815534,35419.274710061654
1,0,1,6,1,56,23427.32288397795,24226.97684797611,23096.99200179332
0,0,1,19,0,26,28458.536634434273,37460.459214180235,57691.91280410607
0,0,1,10,0,31,9639.099683195354,1937.9255464338821,2639.133198802516
0,0,1,10,0,41,10418.15091534734,14827.384910280958,10041.878001961915
0,0,0,16,0,38,9706.013099188509,14159.236727626507,31501.96135052681
0,1,1,11,0,28,15788.671307039504,15096.259733074145,24479.799439119437
0,0,1,14,0,22,11137.77127357742,2342.108148217394,10991.223329561433
0,0,1,21,0,35,48129.27510786874,43361.24836834298,38968.86797178218
0,0,0,12,0,21,1342.1722836956542,7123.227993812887,18641.463311223797
0,1,1,13,0,27,19472.805805205095,0.0,13440.939978980206
1,0,1,7,0,33,17917.759994464297,11909.320135862625,25308.691303930922
0,0,1,13,1,27,24326.904662409426,22648.733989352855,29576.860715012408
1,0,1,14,1,24,32530.770359604474,25578.231444972087,40847.84569616462
0,0,1,9,0,42,43731.758988787624,36565.89417516357,36911.723075586444
0,0,1,13,1,47,0.0,1417.2334147711372,12543.694377533899
0,0,1,11,0,37,25219.0731498302,24237.427030318184,15985.672723202166
0,0,1,16,0,30,5813.7855768750505,1648.6923139946193,7995.77387026153
1,0,1,10,0,27,16297.215660046002,8155.26863808901,5009.104950208384
1,0,1,10,0,23,20758.136032858045,7605.321522112376,27262.477256572347
0,0,1,11,0,25,33490.50803282785,34309.77624302248,12154.033417387833
0,0,0,9,0,16,5904.4835411685635,7687.771070271603,0.0
0,0,1,9,1,38,41148.05546102944,32211.2618070932,58633.30730932942
0,0,0,12,1,34,33942.486328897445,26612.981628477824,30108.776285242337
0,0,1,13,0,39,0.0,0.0,2321.563508267631
0,0,1,8,0,38,23528.66396326014,21948.762496832715,12653.389206099557
1,0,1,11,0,41,27129.87373441369,32177.416828445028,23244.640209649333
0,0,1,15,0,37,35705.128832457434,35301.16368957631,48186.93490906084
0,0,1,13,0,46,15657.539262202306,15221.57839051947,15691.884365598427
0,0,0,12,0,39,10267.71729235333,8476.825702280606,15133.163720729217
0,0,1,13,1,49,35261.748004322144,33444.73343447341,59213.657979869815
0,0,1,13,0,33,15173.47823896636,16212.643158812083,16957.82970432214
0,0,1,10,0,39,24356.290374470842,30884.276923248093,27529.099804923713
0,1,1,12,0,27,0.0,0.0,3201.516604019347
1,0,1,7,0,43,13595.93506103699,10283.895542039962,24340.881825730772
0,0,1,15,0,34,28866.057973240706,37897.325543127896,12908.018004886482
