black,hispanic,married,nodegree,treat,age,education,re74,re75,re78
0,0,1,1,1,43,9,4589.045284296759,6176.2656685424045,24787.03126431077
0,0,1,0,1,42,17,13388.625702112826,32811.41626361509,25853.015472345305
0,0,1,1,0,38,9,8868.41061571872,6815.086108858839,14106.037223805273
1,0,1,1,1,50,7,12758.16405503001,15455.448628345312,16016.144172610126
0,0,1,0,1,39,14,25882.156177416444,26920.204286233457,20924.11332320464
0,0,1,0,0,23,10,45371.83166952581,35998.516271949935,27070.65333507447
0,0,1,0,0,37,11,17102.795334135146,14893.35253614969,27680.305590719858
0,1,1,1,0,38,8,8056.818938455385,4397.536856667359,18220.38177927576
1,0,1,1,0,57,7,18495.749516594882,19579.274288734865,3128.2455977357968
0,0,0,0,1,21,14,9663.42941855481,13356.126422189735,12819.671181863894
0,0,1,0,0,40,11,18471.974196671632,28857.4629839784,38606.82743176516
1,0,1,0,1,32,11,7170.599390664162,1922.632816559355,13146.253556816711
0,0,1,1,1,39,9,5927.0458946535855,12250.464929098389,26894.00651520781
1,0,1,1,1,19,10,3608.058467483761,2419.419251874662,17554.79601553799
0,0,1,0,0,42,15,25315.93447384239,11441.103714101973,16167.163731840716
0,0,1,0,1,35,13,25479.143132808113,26814.39263878775,25900.08767981462
0,0,1,0,1,32,15,14246.646087042769,18244.854889387243,50297.602288590126
0,0,1,0,0,34,16,28322.135251840908,30176.595304899754,25545.8136681895
1,0,1,0,1,46,15,15543.131546185807,22039.976279662787,23019.161466530153
0,0,1,0,0,35,14,14056.754390577005,10838.607993123711,12702.521086431527
1,0,1,0,0,31,14,33166.52404845816,28270.941889685506,39851.091205961755
0,0,1,0,1,47,15,37832.71690649529,39858.54784694936,49199.69892675689
0,0,1,0,1,40,15,1568.3276164787276,0.0,24914.808517231533
0,0,1,1,1,28,10,7400.652044444138,8658.966546983203,18011.33827740812
0,0,0,0,0,29,15,41633.45324438767,48435.2509682879,32656.446161419284
1,0,1,1,1,40,12,19141.68666097559,15961.508004225547,14343.125488354826
0,0,1,1,0,37,9,13704.358454454028,4344.194238121096,550.8549037491284
0,0,1,0,0,48,10,32628.1007229585,20925.47927878244,21660.238635116777
0,0,1,1,1,65,9,34704.11851533878,31137.763043343435,33239.70661146924
0,0,1,0,0,44,13,29170.02235093376,12100.708012929808,40.42336960222747
0,0,1,0,0,26,15,25372.667186762745,38581.725709357524,3646.048417670667
0,0,1,1,0,46,9,17501.679415995826,7918.898063083321,6951.582024695177
0,0,1,1,1,26,8,16539.48680237423,20439.59819336703,38962.202494346355
0,0,1,0,0,39,15,30866.107260822093,26848.55579480455,46035.71031082129
1,0,1,1,1,23,8,1264.500218241632,3240.9440631463813,5127.202293012934
0,0,1,0,0,29,15,14914.941676614293,22967.169262302894,25266.08945457566
0,0,1,0,1,34,16,25336.439356248542,29674.677583984452,33958.63812400641
0,0,1,0,0,48,12,9798.388826913068,6591.755537244866,13459.198617065467
1,0,1,1,1,45,6,1525.7482010310596,5182.746481896474,19623.63555574486
0,0,1,0,0,32,10,16618.070763755266,19498.211606299756,4842.133430074649
0,0,1,0,0,46,16,30440.950369450224,36562.29917089045,14885.461174487666
0,0,1,1,0,32,9,7989.002979232278,17073.307162639267,30988.93509915608
0,0,0,0,0,25,17,19626.209419161147,6183.564539616038,16641.670973314198
0,0,1,0,0,30,14,31496.313595782274,20546.095836871977,20572.20112529233
1,0,1,0,0,31,14,11285.109429854827,20965.56393838439,16440.724376504168
0,0,1,0,0,35,15,28850.702631351844,30612.626615570825,28351.526692620937
0,0,0,1,1,46,8,33740.33784156431,28131.244609088288,34903.5920711825
0,0,1,0,0,38,17,40554.894100159676,42108.08670018903,40017.45282653043
1,0,1,1,0,38,9,2482.4032503554463,4583.939164986861,6062.416947817034
1,0,0,0,1,32,13,25066.6953627979,14992.914715745886,11518.958667828614
0,0,1,0,0,53,17,26308.790425682015,36087.49546711315,44141.75072072463
1,0,1,1,0,29,9,11799.445713470428,14092.718988878367,0.0
0,0,1,0,0,44,10,5369.9794716824545,16114.86514107251,22556.117050559882
1,0,1,0,0,34,15,30290.5534941227,34163.05178001331,44588.73184395219
1,0,1,0,0,34,11,6919.228496100008,516.1634932074485,4155.6562546802525
0,0,1,0,1,40,14,39281.328610809214,41094.33404528166,24693.796993049087
0,0,1,0,0,34,12,35843.997270582855,36332.18162711307,39270.817793607595
1,0,0,0,0,16,13,1179.4340852463902,3612.377345180026,13765.713317992435
1,0,1,1,0,31,5,570.3367489321809,0.0,22895.91504235208
1,0,1,0,0,20,13,15576.3603877713,20288.03795796034,22269.601670461056
0,0,1,0,1,31,17,20770.497596486388,28087.00386244407,28988.781818905325
1,0,0,1,0,55,6,24293.702132104307,19719.343056644015,13589.387317822926
1,0,1,0,1,50,13,25344.714489792248,22591.409631379902,24061.533099530472
0,0,1,0,0,22,13,32467.085202793463,30717.774738069726,22469.28067958397
0,0,0,0,0,39,12,11166.149732045962,6931.252163207613,0.0
0,0,0,0,0,28,16,2333.442130143092,824.8129806436446,26372.520836085616
0,0,1,0,1,18,15,0.0,0.0,15365.27825356459
0,0,1,0,0,46,16,19235.04103911652,15999.154815869137,19873.592041492426
0,0,1,0,1,47,14,33556.57056147301,26294.746211968188,41095.61722989787
1,0,1,0,0,42,13,45419.15186079635,30219.63241928426,51729.361150974146
0,0,1,0,0,46,11,12051.951438548344,22528.254012449946,32462.055008624044
1,0,0,1,1,27,14,15759.944038794727,7849.234948476034,26219.531018960297
0,0,1,0,0,45,15,32263.82279964185,24919.83982834099,23282.895253687246
0,0,1,1,1,39,10,26825.17028655018,33462.426484156626,33522.92096464526
0,0,1,0,0,27,13,38910.52409701389,28877.831790647393,38946.65296654146
0,0,1,1,0,59,12,26575.03520324114,27583.420912653775,36839.37848929627
0,0,1,0,0,42,9,41389.82289855734,40063.68879374508,47343.98331241857
0,0,1,1,1,45,9,21727.48262677588,25139.893358720932,30413.533716674683
0,0,1,1,0,34,9,12419.010880639782,26080.079209306445,26944.363999412948
0,0,1,0,0,33,14,27805.521560420428,33428.938653533,43859.719083224045
0,0,1,1,1,42,10,29575.120370069308,23068.14864480115,45678.31621123943
0,0,0,1,1,48,6,20324.765564409165,12622.46173247703,28894.352791761314
0,0,1,1,0,31,9,15196.5518314314,20037.34244976164,19367.264480238555
0,0,1,0,0,42,16,47328.13728852008,37505.42124144112,47924.7759932599
0,0,1,0,1,36,16,49287.653088357496,46456.61635084734,51779.65804168773
1,0,1,0,1,29,15,31651.39229658433,31051.952164095754,45521.19142911023
0,0,1,0,0,24,14,35452.61841295095,36853.77285431347,38517.28747375272
0,0,0,0,1,30,12,14300.43123910714,23963.197615555055,17261.83856325512
0,0,1,0,1,39,12,51067.45919036715,32957.387734440126,46406.37644190345
0,0,1,0,0,21,15,6845.437903246802,0.0,21403.45595180685
0,0,1,0,1,31,12,18028.248206883694,17893.16039552856,31873.189956913193
0,0,1,0,0,26,16,44171.21682094982,36438.999661659574,42647.89555383327
1,0,0,1,1,49,10,24888.1595284146,19658.891924320727,32137.06003426647
0,0,1,0,0,46,12,27775.25464784375,9236.908847813329,86.181872848294
1,0,1,1,1,58,9,27983.19793954305,17381.309702330786,26335.719520727314
0,0,1,0,1,38,14,18186.354503884628,15010.549091903606,10733.714843575715
0,0,1,0,1,43,12,10828.92189490902,12991.0158339955,11697.321253731416
0,0,1,0,0,40,18,46760.476188846966,45820.20368773406,41295.63273804934
0,0,0,0,0,26,16,8676.80857226921,12559.299121481763,22749.057786487618
0,0,1,0,0,44,16,15669.639424473855,8638.264614497055,10459.539367879575
1,0,0,0,1,22,11,21395.04476390781,18606.03326512429,24152.3759008709
0,0,1,0,0,28,15,27780.65992494846,26018.89062160266,38972.93401728496
0,0,1,0,0,30,10,14046.510870035103,11757.487225048353,10046.698811226312
0,0,1,0,1,36,12,0.0,0.0,4623.727661072672
0,0,1,1,1,32,7,25188.66922935967,30814.247876322137,24844.155154368887
1,0,1,1,1,48,7,16252.386659748261,13134.619679539162,33612.01158601934
0,0,1,0,0,34,16,15405.341493253123,3469.834429869872,27626.065918918255
0,0,1,1,0,48,8,24706.648532389318,25760.27439881379,23584.409968954387
0,0,1,1,1,35,9,16710.579623805836,3601.6078956257825,14074.4319909065
1,0,1,1,1,33,11,13831.935570296282,16969.199261052592,17030.980509093453
0,0,1,0,0,43,13,38876.95261599627,31854.25858453504,23141.087034757435
1,0,1,1,1,52,9,23681.094158376312,22345.957144947562,35644.770113647646
0,0,1,0,0,46,17,21759.22469954763,13567.153463044588,21889.765712169567
0,0,1,0,0,26,13,24708.859535843607,25052.97289264992,28096.150274144504
0,0,1,0,0,20,11,36916.200177927734,26418.962157267557,17617.968998512493
0,0,1,1,0,29,8,14218.058354700872,1418.3403196440213,11576.313784094855
0,0,1,1,0,22,9,0.0,12081.529280349514,2086.730296879319
1,0,1,0,1,23,15,17768.190256835012,13640.103928859518,15594.006231381012
0,0,1,0,0,35,14,170.6162049896302,12145.377928332702,19295.834301290583
0,0,1,1,0,53,8,22272.33418931312,23767.82274798103,19962.271088944595
0,0,1,0,0,34,13,41285.84419497027,33760.67191722786,50491.384067114035
0,0,1,0,0,29,12,18467.043958279188,25067.4123824884,17832.480949629622
0,0,1,0,1,26,14,39890.55011314062,38353.06016090686,37902.61167243945
0,0,1,0,0,26,13,13880.000008593783,8719.575703907314,11161.151611024428
0,0,1,0,0,41,14,21474.97029553475,12243.145107017534,12359.490543201007
1,0,1,1,0,35,11,28720.819966544645,29174.491964632085,33895.71678859122
0,0,1,0,0,49,15,16992.834894819374,5040.286320643147,29521.99109535869
0,0,1,0,0,32,13,18162.54951518033,15164.992296470453,389.3369621400416
0,0,0,0,0,38,12,6688.876907521437,4616.449068098598,2690.733550031342
0,0,1,1,0,48,10,32982.24875672847,25446.88782011756,22255.682545171723
0,1,1,0,0,56,16,37718.739158883815,34743.825657577996,50807.86689144502
1,0,1,0,1,28,14,9594.25212552218,12493.45372321727,23999.35376728636
1,0,1,0,1,42,14,18017.448920661584,21992.634292239065,32365.09104964516
1,0,1,1,0,58,4,5651.56560176425,1308.8972654735044,5312.342323751519
1,0,1,0,0,29,12,21189.884307223394,25507.085025469358,37049.94151056837
0,0,1,1,1,28,8,27654.508020920017,28713.690306764132,54903.774440934096
0,0,1,0,0,36,16,30994.602294634984,20001.23299689032,4854.60500795551
0,0,1,0,0,26,13,40661.036872502154,36531.98581352545,25934.483854584316
1,0,1,1,0,43,8,15360.191467785513,14985.766579414892,11446.355403763917
0,0,0,1,1,27,12,5133.006519567742,6806.706816338092,5639.231245078021
0,0,1,1,0,41,9,6184.610843198239,12905.666777502778,11286.399210646658
0,0,1,1,1,65,8,30328.818449797032,36103.534555535225,42263.82013534245
0,0,1,1,0,45,10,34684.30045888331,28351.834087520903,39205.704745558345
0,0,1,0,0,31,13,23412.800879218456,29012.974282596966,44725.61088329952
0,0,1,0,0,20,17,44405.06099376513,42642.85713011859,31874.25515359553
0,0,1,0,0,47,12,718.3893301071366,816.6951369035851,0.0
0,0,1,0,0,30,12,18492.970277721444,21076.947678042798,39468.27751706673
1,0,1,1,1,43,8,24690.839984285267,21089.48404983439,24859.7915566368
0,0,1,0,1,42,16,56576.35332281718,59657.75073950074,61365.73634247559
1,0,1,1,1,47,6,18828.384262068543,15177.797712617185,12397.922150033703
0,0,1,0,0,33,13,21034.93678130911,3458.6555669025947,3594.0588698438733
0,0,1,0,0,43,16,43481.97802577192,49553.680311352946,43272.08808076977
0,0,1,0,0,33,12,18107.285854951297,24353.42413737336,17482.4869598627
1,0,1,1,1,55,4,11054.343919557929,14501.304516659546,31836.37050470944
0,0,0,0,0,24,16,26097.494172173214,24490.366687724454,22603.889090855573
0,0,1,1,1,38,6,19930.59519121141,32060.907763284536,38940.24522179526
0,0,1,0,1,47,17,35250.432518892754,43324.588158341576,52600.8903015658
1,0,0,1,1,44,9,18041.66123569866,14761.206430712176,18906.518280500484
1,0,1,1,0,24,11,11013.880139875942,11786.722670440307,3813.8000529908386
0,0,1,0,0,59,13,21868.118054750994,24142.826721601818,19063.28841901464
0,0,1,1,1,37,9,7426.883616255027,15950.789265494366,21371.439005368768
0,0,1,1,1,54,8,8087.9009041809295,5185.058073566284,5298.71536363881
0,0,1,0,0,40,14,35994.66435499833,39483.20178793381,53885.703120094026
1,0,0,0,0,33,12,21353.550924614105,21889.2973402594,18379.75421537462
1,0,1,1,1,37,10,8573.09762933057,793.2293165281299,4452.050176413317
0,0,1,0,1,26,13,18936.571659175053,14596.076379465298,29283.259471295878
1,0,1,1,1,48,7,11852.156143375525,9806.700788715558,14815.817504812025
1,0,0,1,1,27,11,0.0,0.0,4390.5363592294025
1,0,1,1,1,32,6,13426.447458917215,13931.974005599246,26911.043623629386
0,0,1,0,0,47,14,25225.899673042124,28536.487850999427,24540.501664007388
0,0,1,0,0,37,12,24471.702033382546,30800.91342075877,29523.6323154104
0,0,1,0,0,23,13,3634.9491745455816,5086.95738491225,10833.361046324057
0,0,1,0,0,28,13,39055.07660215546,35664.615356992115,38079.04053295174
0,0,1,0,0,50,12,19656.249288354913,33933.74690675431,27493.679460922118
0,0,1,0,1,36,15,30188.952866607917,29586.21261340362,44883.969503393455
1,0,1,0,0,44,14,20394.1457863269,12986.708535308047,22064.323373366755
0,0,1,0,1,49,15,23170.949352353546,16715.1173299629,31941.335699125935
0,0,1,0,1,33,10,25852.58977822998,30933.805249568635,42798.90919330818
0,0,1,0,0,40,13,40704.87245180947,34820.77558230098,29938.340803914944
0,0,1,0,1,41,17,35265.48657076938,22282.464729859417,41584.87119906798
0,0,1,0,1,30,18,50370.88376941401,53766.22066237188,81474.35327455177
1,0,0,1,0,39,10,18199.796496623698,11582.762390551197,29276.930747758794
1,0,1,0,1,31,14,19530.54600384362,10688.32230754607,12826.475273536022
0,0,0,0,1,39,14,27817.501396356747,35081.325591996894,54954.40526801332
1,0,1,0,1,40,12,2580.142412506546,12362.232945233953,12507.014276587088
0,0,1,0,0,31,11,0.0,8257.222683923794,0.0
1,0,1,1,1,49,6,14439.004776873513,19547.472882919734,13712.636783350801
0,0,0,0,0,48,11,14052.865782015399,2471.688511533277,10079.475914001807
0,0,1,0,0,29,11,5749.779721270803,4774.898539473943,16383.277826172014
0,0,1,0,0,39,15,54681.210345662184,49459.96556169935,52788.71525868417
0,1,1,0,0,20,13,24250.52506541047,33820.177820436336,30992.721727699434
1,0,1,1,0,58,8,25664.13924584332,20540.354095253188,22994.79779738241
0,0,1,0,0,22,13,17178.581158527442,226.82537089232574,15341.860539618765
0,0,1,0,0,41,14,11445.109504495209,23720.277902665734,1630.4999807666172
1,0,1,1,1,22,11,4433.56067006213,0.0,5151.259512985571
0,0,1,0,0,41,14,43217.40261428013,34454.408017212205,45285.07355941947
1,0,1,1,1,40,3,11121.760384485648,9686.35305288446,12036.641939877785
1,0,1,1,1,22,12,610.9228493852243,0.0,5701.022268993758
0,0,1,0,0,52,11,38855.58805944776,36739.172946079925,21607.645055183017
0,0,1,0,0,35,16,3903.303659896519,15926.613876160718,34535.98951042985
0,0,1,1,1,37,8,7285.395566384965,12366.279315504535,9760.803292228313
0,0,1,0,0,33,15,18485.97746043211,9411.342230395092,18407.98378954537
0,0,1,0,1,33,16,20279.61775868856,37064.48701285836,45711.81904978662
0,0,1,1,0,60,4,0.0,7408.001332128637,0.0
1,0,1,1,1,48,9,139.00794848490114,1279.808439121567,21335.260875750733
1,0,1,0,1,29,11,30261.166862070095,25533.954252926127,39322.63175202828
0,0,1,0,0,29,14,11568.085364187866,24381.757518476265,20324.586270424934
0,0,1,0,0,44,13,19906.42286745533,25913.674174934837,30027.506611415658
0,0,1,1,0,45,2,11848.930757243246,5739.437918806614,5957.962844830699
1,0,1,0,1,33,13,16758.18289177656,10486.609405851796,28112.571299627492
0,0,1,0,1,23,15,14807.353391222623,29409.786040125837,4951.005658532796
0,0,1,0,1,37,14,18156.147299799995,12107.157652722817,26339.373775025277
0,0,0,0,0,32,12,30651.82914788786,35863.2217317401,49892.71801396381
0,0,1,0,0,52,14,40887.98040616524,30859.883553176456,26289.162374310767
0,0,1,0,0,42,13,35348.135105290145,37515.88790994194,39161.41990379157
0,0,1,0,0,27,14,28738.877420116994,29914.694898590922,38354.33893894784
0,0,1,0,0,37,13,26097.86891448529,34351.401707099736,27420.72775033633
1,0,1,0,1,40,15,18200.16537397525,19965.047793212696,30360.84686098327
0,0,1,0,0,40,15,31905.603211529447,37956.81338025389,33302.36110959039
0,0,1,0,0,29,12,22280.79304776317,25510.87042469639,30814.80327547218
0,0,1,0,0,32,10,25006.447509678113,29278.27028864808,29624.672694974564
0,0,1,0,1,45,14,54648.48994022407,50881.6142130614,83984.56930728181
0,0,1,0,0,32,13,37693.55741055875,46420.15592803797,27909.136426707468
1,0,0,1,1,44,8,26236.590689037235,22586.625244506693,22403.697241124533
0,1,1,0,1,28,16,45042.318908271576,63052.23816074917,69826.81586691468
0,0,1,1,1,36,13,31391.75358426359,31998.30211827054,44365.27231403907
0,0,0,1,1,48,11,28214.849174972984,15752.326540112588,29803.466948028065
0,0,1,0,0,59,15,33871.21977182414,37744.652831802494,26757.54757771719
0,0,1,0,0,43,14,31353.98061649174,31103.714470913856,34397.16116991291
0,0,0,0,0,17,12,5084.373617690384,3032.592557728931,16443.162061547344
0,0,1,0,0,31,13,11365.181610144466,16987.562201078887,23531.13183216631
0,0,1,0,0,38,18,44964.74478415912,40496.42567972197,61234.16301064369
0,0,1,0,0,33,8,38395.08088667621,40960.993224525286,41980.21384029669
0,0,1,0,1,28,14,0.0,3264.9584928789227,10667.41012865229
0,0,1,0,0,31,15,12164.253117156979,17377.54852532461,31040.116288949823
0,0,1,1,1,23,10,19018.102293175307,14727.828621516843,17613.504764248035
0,0,1,0,0,32,13,23531.073596803635,15790.598050800163,31942.05938437573
1,0,1,0,0,29,13,23973.284757661637,16883.739528614427,26822.469639898874
0,0,1,0,1,34,11,6627.260509094363,11628.338516459371,11463.789506675028
0,0,1,0,1,43,12,27728.487382612904,20715.919431009177,40722.1415405351
0,0,1,1,1,32,7,0.0,0.0,11563.284423293533
0,0,1,0,0,26,16,12294.244955607952,20130.846732330552,12489.878598354117
0,0,1,0,0,47,12,11258.403208233925,21953.435031710207,9959.265186760214
0,0,1,0,1,32,14,30956.336427273403,24739.606589192193,6843.199861498507
0,0,1,0,0,36,16,26302.080643237503,14271.983221476887,19869.623319096594
1,0,0,1,1,19,12,8946.639069046623,7411.5131058631305,19577.98534224527
1,0,1,0,1,31,13,12930.21720980197,14976.284362046104,28615.232036394482
1,0,1,0,1,21,12,17231.24220302199,12401.868955877253,32364.14243341481
0,0,1,1,0,30,9,25015.44949465533,15218.509771938696,21612.22128503382
1,0,0,0,0,17,10,0.0,4116.726872943533,0.0
1,0,1,0,1,35,13,9724.992223633393,11034.736829421598,22786.18083440424
0,0,1,0,0,48,19,41893.586398457584,34614.919950079304,24216.374899040886
0,0,1,0,0,25,13,41344.482749692485,37868.90886966444,16239.857678049151
1,0,1,0,0,20,12,11418.301654293187,15386.192987152424,7974.9360707542855
1,0,0,1,1,25,12,13593.687078391913,14406.07748731407,24931.638747279125
0,0,1,0,0,37,11,33991.762950866476,20537.868753276587,23481.372850228894
1,0,1,0,1,39,12,24248.09419302651,13452.22722973573,35697.39037146541
1,0,1,1,1,40,9,10814.576600606948,8227.306438070256,17718.435523574564
1,0,1,0,0,29,14,26339.091084534783,20553.806897397502,29653.84726930695
1,0,1,0,0,32,14,16228.092541122152,20885.498293539807,27565.71693697551
0,0,1,1,1,53,10,27420.35390430882,23622.987980016725,20337.338275482623
0,0,1,1,0,31,11,4721.352992550219,0.0,4965.841157399927
0,0,1,0,0,43,15,21158.063164145144,27005.11089463696,24310.74872486552
0,0,1,0,0,32,11,24989.554835267598,20739.224840995375,19984.210881280058
0,0,1,0,0,34,16,5772.035352804476,0.0,0.0
0,1,1,1,1,71,0,22665.13123154994,21260.100209833952,4904.620833473858
0,0,1,0,0,33,14,13155.4506742091,2006.074820226262,8754.987088614018
0,0,1,0,1,33,14,13893.093950294595,18880.429427922783,29549.47164228849
1,0,1,1,1,49,3,18863.701024918104,16808.993887328867,21773.78359218567
1,0,1,1,1,41,8,11948.390827809093,8635.440411067415,29017.272452700945
0,0,1,0,0,43,15,25486.178351171435,29365.866062354027,44102.20098524312
0,0,0,1,1,16,12,41971.697161166114,42502.17106824176,31874.645367761346
1,0,1,1,1,55,6,11832.66658983994,12833.448042238148,22632.13558599961
0,0,1,0,0,23,13,49619.47504753978,36014.89587774241,40679.518304886056
0,0,1,0,0,24,12,34382.18693265377,35724.471573748204,23665.61240778392
0,0,1,0,1,30,14,31896.750744002387,29432.50906179169,32645.388320833867
0,1,1,0,0,28,11,16567.30368909952,15593.719529821361,7308.432951797731
1,0,1,0,0,30,11,7944.162077396166,3780.9376389463414,27351.84444771537
0,0,0,1,0,42,8,7329.093244534317,17821.763990625714,19706.167805760364
0,0,1,0,0,31,13,0.0,0.0,0.0
1,0,1,1,1,26,10,14246.957789752641,13661.526430466809,11797.799350743226
0,0,1,0,0,31,14,9005.948752151831,17380.450486573878,8889.529996274854
1,0,1,0,1,33,12,4608.019280319002,5526.339178823242,21943.467015135055
0,0,1,0,0,40,13,17449.29236288157,14774.58966065697,21260.81345845901
0,0,1,0,1,43,13,18500.338127656396,25646.54814307562,33867.616652111115
0,0,1,1,0,45,5,16693.652521900625,11249.740727048506,13639.80215331927
0,0,0,0,0,30,13,49922.21287028119,54100.78019935437,58112.35386441751
0,0,1,0,0,21,16,23589.918382173706,30633.948479936284,23937.96121087615
0,0,1,0,0,41,13,38198.97981641661,38953.95583499246,38963.4498311149
0,0,1,1,0,39,8,40332.73261776878,35581.93387497342,39077.63324318541
1,0,1,1,0,39,9,3853.923123675315,2143.6716245216085,0.0
0,0,1,1,0,38,11,25503.01331972985,24497.13500905533,28971.77318642253
0,0,1,1,0,40,10,0.0,0.0,0.0
0,0,1,0,1,41,14,0.0,0.0,4884.051818041106
0,0,1,0,0,34,13,42467.36733415516,43999.44549743277,43435.65420073776
0,0,0,0,0,49,10,45226.37663374953,26164.477089723925,21770.715808162815
1,0,1,1,1,53,8,7043.75574155736,6249.498278074176,21745.31649543675
0,0,1,0,0,42,19,4787.956636490242,3881.675722187545,17828.768927394984
0,0,1,0,0,33,15,29039.70887047232,24756.031222686746,37336.43720595267
0,0,1,0,0,40,14,39507.57532319678,37258.362676967154,50672.648901011606
0,0,1,1,1,48,10,11429.650346367385,8211.343114489875,11832.901067960982
1,0,1,0,0,47,14,14366.336889665146,7656.99292485626,15137.1101211655
0,0,0,0,0,44,14,30956.641770262017,21527.200961475668,35032.17340278585
0,0,1,0,0,35,12,22522.838308527666,18791.117908862296,24546.338314588233
0,0,1,0,0,33,13,52313.422979797375,47231.05059724752,41175.078691371884
0,0,0,1,1,38,7,17795.112246495886,14774.620131603226,25305.177823065926
0,0,1,1,0,26,8,12784.969056233293,3238.9902785149916,8158.349996715593
0,0,1,0,0,37,16,41943.25575567225,41885.13908212154,26480.70392315498
0,0,1,0,0,20,15,25141.85763674814,20002.614945869744,27175.2432864852
0,0,1,0,0,37,17,19884.56583236949,15767.589260595309,16548.47152054548
1,0,1,0,1,34,12,29720.62792937969,37444.577162943315,22085.84304869655
0,0,1,1,0,52,10,22979.543728667122,20912.431535717587,26366.972601004505
